batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.045404892202579615,0.03285796802966419
979,0.3596079321578,0.0535361448362,4,65,0.03380355043393193,0.11872010488035463
652,0.7642785040662,0.0014379647071,3,136,0.02514293616468256,0.0879539028342358
94,0.005704017356,0.0050831004951,3,339,0.04415981726212935,0.02349899727631255
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5119656196659318
834,0.8388903406541,0.011968217605,3,66,0.06590700129667917,0.2751266114429486
823,0.8235535974716,0.0001531143473,2,69,0.008984368190620885,0.4038415025928034
846,0.9212642791278,0.0205330230375,2,113,0.0376130376349796,0.3637100560097438
960,0.7738059909975,0.0025143911172,3,74,0.024380484584606055,0.32315869860094626
881,0.8968847056514,0.0001209618904,2,66,0.005580115634383578,0.4211134451509061
843,0.7860893395249,0.0454196178348,2,74,0.07880847114505189,0.13015613067642204
858,0.8831461531768,0.0112869757661,1,120,0.038318623313398074,0.035145519328661876
840,0.6772080274447,0.001695638414,1,131,0.04741296439459829,0.04221499174672951
936,0.7218267515862,0.0002015168222,3,145,0.016581113988702947,0.3512133281123916
927,0.7254964408469,0.0002370135532,5,104,0.012792103832418269,0.4217369294372416
890,0.698092634646,0.0007279330673,4,88,0.008521117784760213,0.3535456612459734
931,0.7016757292857,0.0009694147481,4,145,0.008925242324670155,0.2874095980235418
886,0.7234900639262,0.0009177813259,4,91,0.010796072248256568,0.25102814332783113
894,0.7302143971179,0.0001286643198,4,125,0.008314739492806521,0.40531281301312516
277,0.0788153739624,0.0011246047718,1,788,0.0576382040977478,0.03119455002909737
895,0.7897473442105,0.011623077444,1,411,0.09688518161123448,0.044293344813636185
597,0.4199483890762,0.0062957704128,3,1002,0.03026396426901411,0.2894896817893696
493,0.7652910146699,0.0009409136073,3,70,0.014458508166399866,0.18838181814248411
408,0.7598014327404,0.0008896619317,3,64,0.013694251829927617,0.23598620632959869
190,0.7628620208157,0.0008684139472,3,66,0.022186699256752478,0.05510523731127266
260,0.7626640476083,0.0009115015072,3,69,0.01335184712301601,0.23311021739741822
364,0.7601430864989,0.0008441158524,3,73,0.011027794967998158,0.19346250116281333
320,0.7625804273867,0.0009676461642,3,70,0.01157054603099823,0.2776614363503021
68,0.7620031840594,0.0008468857654,3,76,0.08718163638403922,0.038056987588725374
497,0.4323787825414,0.0004186695981,1,866,0.08010438456679837,0.030154616314866045
488,0.7775533039328,0.0008690694169,1,70,0.026935385285001813,0.19670539826627237
242,0.5897873412338,0.0912677296139,2,140,0.0,0.5198658275661396
537,0.7686135628808,0.00086468618,2,70,0.017268361413117612,0.07195445665789055
487,0.7663543014818,0.0008544466307,1,70,0.029555404854543284,0.27512293370774116
429,0.7772165327029,0.0008763476609,1,70,0.02847000761465593,0.08255736726080118
369,0.7663598600949,0.0008831085847,2,70,0.018224997285640598,0.15746547796495763
370,0.772039948421,0.0008830412488,1,70,0.029293154730941306,0.06904233938573168
190,0.7637579834799,0.0008768063338,5,64,0.009846763276692592,0.27763936993905775
187,0.7637486158276,0.0008735410217,3,65,0.021431912409536763,0.23891065483157056
203,0.836270266563,0.0026409543209,5,612,0.08738719979921974,0.029738383224335353
190,0.7697066576084,0.0008684139472,2,66,0.022673489090168118,0.14159302182195002
191,0.7677147279711,0.0008683230085,2,66,0.020093323136820936,0.04429377748836642
199,0.0908862634543,0.0008681490398,5,64,0.010305687478094391,0.3086392163395285
193,0.7633538464866,0.0001448517879,4,65,0.013741902727069277,0.42067471297440073
40,0.1377921705831,0.0008697475298,5,65,0.08097049265196829,0.03202593452333302
652,0.770628248082,0.0008306497223,1,72,0.03907546207760319,0.0892157986851015
531,0.7735402027014,0.0008360720689,1,72,0.03151879068576928,0.16675111035152657
537,0.7743259907046,0.00086468618,1,72,0.0316859325315013,0.16363909735397766
539,0.4096195582972,0.0014614146338,2,269,0.09492474447597157,0.030570416730666496
528,0.771277091988,0.0008269725601,1,73,0.02765499664075447,0.16242501206080812
560,0.7682190769834,0.0008474227766,1,72,0.025645894823652322,0.2114779952449047
578,0.7707977302449,0.0007991646118,1,73,0.03309252811200691,0.2029389431054363
582,0.0387496336331,0.0003356147463,1,83,0.029367825045730128,0.20274121075369775
484,0.7686135628808,0.0008855828111,2,73,0.01711413569522626,0.21234767145277028
478,0.7680730351888,0.0008735832805,2,73,0.015752592529311323,0.20531281301312515
369,0.7665136429923,0.0008763607747,2,73,0.017130303888609914,0.24979718372018062
511,0.7665956707233,0.0213238547557,2,73,0.0565397338253079,0.030569551381205894
72,0.7685905797278,0.0008777088875,2,73,0.08506390267249309,0.03493718644603139
526,0.1558490208903,0.0010597119829,3,71,0.017414082487424216,0.21817060797289728
510,0.7694099883172,0.0152407028943,2,73,0.10557818009094758,0.04201249997295782
900,0.4300912433377,0.0152683361273,5,574,0.0,0.49200719970751194
537,0.7700203932999,0.00086468618,3,70,0.013070823170922018,0.2757102896540982
528,0.7693034403554,0.0008635791054,2,70,0.012661821643511456,0.35874035405773175
526,0.7686135628808,0.0008657670269,2,70,0.018163741375460767,0.1838183977622063
