batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.17167301829565654,0.013725524131351374
979,0.3596079321578,0.0535361448362,4,65,0.15276402361013675,0.01767519540672504
652,0.7642785040662,0.0014379647071,3,136,0.1704596049406312,0.016843161900393942
94,0.005704017356,0.0050831004951,3,339,0.14934418460184878,0.016635694367224008
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5298450375453497
48,0.9833503269654,0.0145917879776,4,387,0.0,0.47057076287045074
75,0.9971356168739,0.0038365570826,4,422,0.0011128040690991012,0.5019864096867218
50,0.9634574304663,0.0118098724536,4,397,0.012561078220605851,0.5000925923922803
110,0.998597017602,0.0090776111156,5,478,0.0,0.5394084471087592
87,0.9913640048355,0.0258846057016,4,389,0.0,0.4999074076077198
70,0.9826437947227,0.0018145303005,3,355,0.05702260723845526,0.4506123429120308
43,0.962158361632,0.0600900337069,5,532,0.0,0.46059155289124065
66,0.9930121610182,0.0957667068419,3,407,0.0,0.4805499728496606
752,0.0095112354377,0.00252757237,3,217,0.17461880867679916,0.012893923299750542
753,0.2326572787268,0.0002955724935,2,125,0.17272831622849813,0.013100525483459923
869,0.0770235431333,0.0002199764578,2,83,0.17114796746409303,0.01414024286032609
872,0.3341200825414,0.0001370480413,3,130,0.1720341136825807,0.014348359405591427
823,0.4262235865609,0.0024439374343,1,124,0.17188569019689706,0.013932991664521333
743,0.1548566879542,0.0002835438103,2,69,0.17323952492439387,0.013932558989791021
277,0.0788153739624,0.0011246047718,1,788,0.17205207838705092,0.012685157742389763
895,0.7897473442105,0.011623077444,1,411,0.14937580119028235,0.019551056699860014
597,0.4199483890762,0.0062957704128,3,1002,0.03348367090026537,0.39655828885797667
40,0.950626087897,0.0001748988399,5,176,0.08392016298843154,0.2817147332235782
43,0.9167016453421,0.0020092558909,5,111,0.16026947685263376,0.019755495509917974
47,0.9577428951321,0.0019075335099,5,275,0.07630660161375999,0.3653732576729455
42,0.9336077616754,0.0002418997668,5,91,0.12094581068013655,0.034726473852384344
38,0.9227015167072,0.0013764407597,5,121,0.1696911264368982,0.015804093535623176
44,0.9427452781958,0.0009882170575,5,75,0.11352022711074714,0.0278653343169472
35,0.9571201233648,0.0015133752035,5,64,0.10507030968187432,0.03867506344093232
497,0.4323787825414,0.0004186695981,1,866,0.17219392772876857,0.013725524131351374
588,0.4576027735026,0.0051376277709,3,900,0.16607091203331947,0.019551273037225193
242,0.5897873412338,0.0912677296139,2,140,0.029534054344350642,0.40385751155782373
574,0.3693495246351,0.0608132115801,3,1012,0.0,0.5024022101025223
586,0.5227287187071,0.0125875763755,3,996,0.0,0.5219448296451419
580,0.6345637571958,0.0628161879656,3,902,0.0,0.49011338241307023
582,0.4673864471882,0.0155398600782,3,911,0.0,0.5198658275661396
590,0.6193749902592,0.027271565597,3,947,0.0,0.5219448296451419
35,0.9538410647114,0.0024320580884,1,65,0.15534149515809437,0.03098297208598977
32,0.9542617271977,0.003114399508,1,67,0.15387635800874594,0.03389335865922753
203,0.836270266563,0.0026409543209,5,612,0.15330851470882242,0.01767562808145533
32,0.9562960890115,0.0030246457845,1,67,0.1590118067508394,0.02827897135909623
33,0.9571964612571,0.0027785396612,1,67,0.15356226962172626,0.046164879359468315
33,0.9571184131158,0.0027293655789,1,66,0.14441600628874518,0.03119022328179455
34,0.9548714340455,0.0031275904109,1,64,0.15263010202935248,0.02599509779530591
35,0.9540184146196,0.003160433282,1,64,0.1394494506355488,0.02370624847211735
33,0.9602071238914,0.0015159950544,5,64,0.08411102245702888,0.27430950521481223
33,0.9785060557479,0.0015004254053,5,64,0.06657492472366852,0.4506123429120308
35,0.9793881623889,0.0014578489794,5,64,0.053072139207612376,0.4506123429120308
539,0.4096195582972,0.0014614146338,2,269,0.17239428463758846,0.014764808833487297
34,0.9790929322875,0.0017255557803,5,64,0.05629413986183477,0.4724645801648924
33,0.9733818905281,0.0015846438743,5,64,0.07992746254485665,0.4506123429120308
33,0.9714400332169,0.0016571891057,5,64,0.07231901405887171,0.4506123429120308
582,0.0387496336331,0.0003356147463,1,83,0.17154219608415258,0.014348359405591449
53,0.9585421446599,0.0258611632899,4,134,0.024868321949333853,0.46059155289124065
74,0.4218638899705,0.0909382562675,4,64,0.062358781695365906,0.3248554325557447
78,0.3992117665892,0.0914028808153,4,64,0.04831014047969471,0.349179756880069
374,0.4316498115536,0.0985406993107,4,1012,0.03322704484065374,0.4410716487719609
72,0.3997593930104,0.0860637253676,4,119,0.0,0.5000925923922803
526,0.1558490208903,0.0010597119829,3,71,0.17156023480223886,0.01434857574295656
299,0.4073822230811,0.0974517853653,4,89,0.0,0.5275354198351077
900,0.4300912433377,0.0152683361273,5,574,0.0,0.49011338241307023
79,0.9593451829458,0.0001088041017,5,64,0.03823600975853024,0.4506123429120308
72,0.9601709741085,0.0001444672556,5,64,0.04680719401348721,0.4506123429120308
32,0.9591845984671,0.0015162368075,5,64,0.10798839837764249,0.11518147459874825
33,0.9587957688316,0.0015224827615,5,64,0.12741468988133198,0.1099857001001642
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5219448296451419
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4880343803340681
32,0.9584941918561,0.0015194339496,5,64,0.10261019815549707,0.031195415378557946
435,0.6182493089424,0.0313142741224,3,206,0.11217214962298219,0.10757699987668767
193,0.4888227212062,0.0678987026873,5,198,0.0,0.4999074076077198
50,0.1031863478377,0.0711742319796,5,387,0.0,0.4724645801648924
