batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
596,0.8873406883156,0.0971256561783,4,83,0.4506123429120308,0.0
943,0.1746360790703,0.0002474381483,1,453,0.011645224028158463,0.29703939923922273
975,0.5778443446876,0.0001089291294,5,64,0.30593651363682584,0.007660975429513782
975,0.5037984735241,0.0001057845964,3,65,0.20593651363682577,0.014359648473830287
785,0.4951030039112,0.0001371937625,1,65,0.048451348971640315,0.09443266884897292
233,0.7952627504126,0.0017089952081,5,413,0.013307993016629837,0.18564559689316298
504,0.770968341787,0.009789800449,4,75,0.02329001538158666,0.1534534832107441
80,0.5354493981954,0.0136201128867,1,189,0.013101390832920478,0.26336877044800683
960,0.5308779078541,0.0001048924534,1,71,0.0657087969262787,0.05346613921972314
996,0.5009836187087,0.0001032162768,2,71,0.15304613826986355,0.03766621517563107
