batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.02350282881296042,0.012269140989224225
979,0.3596079321578,0.0535361448362,4,65,0.04077419259331443,0.021838175324127462
652,0.7642785040662,0.0014379647071,3,136,0.027628257392030776,0.013724875119255974
94,0.005704017356,0.0050831004951,3,339,0.031617959611343616,0.016427145147228383
241,0.9708397453651,0.0329667406801,4,407,0.0,0.4999074076077198
901,0.9637265100315,0.0001984318651,2,701,0.02424172498963096,0.4173483096479974
242,0.635684935348,0.0005540775865,1,697,0.025478543467593918,0.013724658781890841
517,0.9608299742709,0.0001528522487,2,701,0.037794714750665606,0.4736892659889538
503,0.9705110125962,0.0001229528615,2,695,0.04338150208646602,0.4107182184185306
35,0.0829957075375,0.000262287208,2,723,0.027190761674534193,0.017052792807215278
286,0.6930427073739,0.000154047605,2,732,0.02582971318201585,0.012892408938194566
68,0.360957805924,0.0003409505966,1,698,0.025001067293412754,0.012685590417120052
640,0.244498865031,0.0002080191327,2,694,0.0315735381119179,0.01497162735456179
409,0.3118976592418,0.0001269171369,4,697,0.02876060582471616,0.013932775327156177
297,0.6205646954477,0.0001436380072,2,697,0.025459470992738552,0.012476824859759294
495,0.4240069850414,0.0001050130102,1,699,0.036946173960512335,0.01642930852087978
481,0.4764144224304,0.000123713688,2,698,0.036694690422578294,0.01372530779398622
494,0.4363559180355,0.0001326261216,3,698,0.030080013636386755,0.013933424339251599
489,0.2919582642551,0.0001337581464,5,699,0.026225273256952113,0.014141540884516957
277,0.0788153739624,0.0011246047718,1,788,0.025223444835706193,0.013101174495555323
895,0.7897473442105,0.011623077444,1,411,0.031181996049302996,0.013932775327156177
597,0.4199483890762,0.0062957704128,3,1002,0.018178857962290445,0.2839964434137171
295,0.3972256191047,0.0052074239647,1,697,0.050298549316146156,0.01642865950878436
297,0.3884839539052,0.0002151749368,1,697,0.026353415494615385,0.011645224028158463
329,0.4182564624197,0.0144488452741,1,705,0.049456262642687016,0.017676709768281017
296,0.3155253564754,0.0270939940408,1,698,0.07201096695480926,0.030986217146466877
297,0.4112843863299,0.0002566905274,1,323,0.026032974990931424,0.014141540884516957
296,0.3177177162502,0.000360306585,1,699,0.025747707630648757,0.01351675857399064
297,0.3324076033777,0.0038072623156,1,732,0.028788179664900816,0.01642736148459354
497,0.4323787825414,0.0004186695981,1,866,0.026495899079423957,0.013100525483459923
329,0.5630236131871,0.0002097626117,1,939,0.024072401821613312,0.01330820935399497
242,0.5897873412338,0.0912677296139,2,140,0.0,0.4780551703548582
337,0.5910110985692,0.0002105264177,1,1004,0.02569814961968046,0.013100741820825056
321,0.5714698960462,0.0002106449117,1,938,0.02388206532507232,0.012477257534489583
313,0.5541115611578,0.000210646488,2,988,0.03170921746528509,0.012893923299750542
344,0.6010684276439,0.0001557020142,1,947,0.02512220113566428,0.015389591144013615
318,0.8771216546329,0.0002107528735,2,957,0.02370041260213563,0.012685374079754919
293,0.6064911643722,0.0002069205207,3,712,0.02711566867250385,0.015180825586652836
297,0.6182303651064,0.000210147218,3,163,0.03495249243396702,0.014140459197691246
203,0.836270266563,0.0026409543209,5,612,0.03380823950875889,0.014971843691926922
291,0.8887283533392,0.0002153902817,3,287,0.029304013947645823,0.10145962820260426
290,0.8929006868751,0.0002107528735,2,269,0.05029897054036457,0.26118280291017026
287,0.8484648030197,0.000229109882,2,348,0.02722079887534633,0.017261558364576057
291,0.8589303969376,0.0002123818096,3,87,0.033183580528606066,0.3032338109341231
299,0.8700381010456,0.0002219632711,3,72,0.046891997835852885,0.18399882312473362
297,0.6186768613611,0.000210147218,2,697,0.02594801751050082,0.014556908625587072
49,0.6205646954477,0.0002097759246,5,697,0.027273052136103315,0.014557124962952228
291,0.6563413640975,0.0002100959091,2,885,0.024728390312556064,0.013517623923451173
539,0.4096195582972,0.0014614146338,2,269,0.04357248236735662,0.014348792080321738
418,0.652168835849,0.0002122057082,2,697,0.02492117348945502,0.012684076055564075
43,0.6207225020308,0.0002097626117,2,903,0.026831895103960324,0.0168440272498545
65,0.6361857022695,0.0002106449117,2,696,0.02465872420506044,0.014765241508217564
582,0.0387496336331,0.0003356147463,1,83,0.06682640037753365,0.028490116627473538
318,0.8313513695832,0.0002107528735,1,957,0.02912914589498982,0.014140459197691269
316,0.7882551094845,0.0002039318331,2,939,0.025416166439200895,0.013724875119255953
314,0.8676296284845,0.0002006662362,2,913,0.025192748949383247,0.012893057950289988
328,0.915138690704,0.0002077195111,2,1008,0.04421885544603521,0.2753524676521555
317,0.7497064751298,0.000199297738,1,705,0.032712487000407596,0.013100958158190212
526,0.1558490208903,0.0010597119829,3,71,0.031510724605936,0.015804958885083754
319,0.7586947563561,0.0001994087401,1,697,0.025362043489109386,0.014557341300317361
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5075769998766877
297,0.6204389708157,0.0002101545531,2,697,0.028382277145530238,0.013308642028725259
150,0.6235740707208,0.000210147218,1,224,0.026197165268840212,0.01393299166452131
158,0.6192620269736,0.0014847614971,2,696,0.02671511853283102,0.014764592496122142
151,0.6234752156967,0.0021689422178,2,698,0.03093994538892399,0.015805175222448887
921,0.0402320288874,0.0695202977577,2,410,0.020530897378921508,0.43106972336941124
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4506123429120308
161,0.6198871815058,0.0005034570328,1,227,0.026626692838741074,0.012892841612924833
435,0.6182493089424,0.0313142741224,3,206,0.015408689777056376,0.20686524994537484
193,0.4888227212062,0.0678987026873,5,198,0.0,0.5079928002924882
