batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
194,0.4643377640816,0.00183296419,2,529,0.01247769020921985,0.051596665382385255
63,0.7339789167123,0.0006785408267,2,64,0.012892841612924833,0.011016923189163207
211,0.4755979965245,0.0001800988496,2,226,0.01268494140502463,0.044408324360847476
254,0.9705528001329,0.0001457226549,1,65,0.34269720773362805,0.0002786695957183838
220,0.9630015351302,0.000145548859,1,94,0.18423419817800668,0.0008395016193389893
665,0.9840685484702,0.0001276064959,2,171,0.2622385292520568,0.0003778040409088135
53,0.9490891431632,0.0001221930077,5,112,0.1033469553760917,0.0010920047760009765
35,0.8475114411052,0.0014616642385,2,81,0.01726177470194117,0.0038471907377243043
241,0.9595382896743,0.0001589666177,1,66,0.0540637892354854,0.001959511637687683
