batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.02814820110797882,0.01767714244301133
979,0.3596079321578,0.0535361448362,4,65,0.05171869397163391,0.017260260340385192
652,0.7642785040662,0.0014379647071,3,136,0.014479658007621765,0.021001598733128412
94,0.005704017356,0.0050831004951,3,339,0.05053191184997559,0.014349224755052004
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5275354198351077
689,0.8248954980756,0.0001633910922,2,775,0.01807866096496582,0.020170430576257826
727,0.7472197294445,0.0001867755015,1,71,0.01450914740562439,0.02640981652428063
556,0.8047260274795,0.0001263847886,1,66,0.012169212102890015,0.03140071953807644
558,0.9420642705417,0.0001421184078,3,66,0.01000257432460785,0.0347288535634009
561,0.9313218661859,0.0001882042915,2,283,0.013419929146766662,0.027033949822711522
811,0.8275402637736,0.0001224722958,2,447,0.015980395674705505,0.021419562522580215
786,0.8968847056514,0.0001313933908,2,64,0.010156202316284179,0.030362083848036004
598,0.712284972737,0.00019326863,1,269,0.018215197324752807,0.019131578548852213
590,0.9575565466747,0.0001454396166,2,66,0.007443556189537048,0.03410385491550942
356,0.9548480914563,0.0001528270051,3,66,0.007130202651023865,0.029322366471169793
376,0.9672321359895,0.000143570222,5,67,0.0025837898254394533,0.18609772824132867
205,0.9787952646324,0.0001403498432,2,66,8.252561092376709e-05,0.45019610982150005
164,0.9855252803524,0.000150665754,5,67,3.930926322937012e-06,0.4506123429120308
224,0.9429821433702,0.0001391940876,2,67,0.007450774312019348,0.030985351797006323
277,0.0788153739624,0.0011246047718,1,788,0.05109588801860809,0.013933208001886466
895,0.7897473442105,0.011623077444,1,411,0.014176961779594422,0.02640722047589892
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
353,0.9477137991202,0.0001492382029,4,66,0.006718048453330993,0.03368740548761358
345,0.9577440450994,0.0001480883202,3,64,0.0037120044231414794,0.03930265813720546
345,0.9548480914563,0.0003379006449,3,65,0.006114664673805237,0.03555894003344575
354,0.9523086589391,0.0022838756074,3,66,0.010927748680114747,0.030568253357015053
345,0.9561763270514,0.0413359847087,5,66,2.824068069458008e-05,0.4506123429120308
343,0.9575557865322,0.0854817875634,3,64,0.015117466449737549,0.3612152535149414
340,0.9508235916037,0.000149470597,3,66,0.006390780210494995,0.03285645366810817
497,0.4323787825414,0.0004186695981,1,866,0.04549046754837036,0.012684941405024653
345,0.9747799176154,0.0001395012269,5,64,1.6453862190246583e-05,0.4506123429120308
242,0.5897873412338,0.0912677296139,2,140,0.0,0.5294292371295494
209,0.9889771594787,0.000149470597,3,64,3.99470329284668e-05,0.4506123429120308
213,0.9951630062459,0.0001495583917,3,64,3.1387805938720704e-05,0.4506123429120308
208,0.9903704581186,0.0001496976866,3,64,3.799498081207276e-05,0.4506123429120308
207,0.9647769168136,0.0001440644616,4,64,0.001372438669204712,0.24825902505403025
236,0.9964960784554,0.0001459082139,4,64,9.188055992126465e-06,0.4506123429120308
352,0.9549184609664,0.0005445901717,2,64,0.007467848062515259,0.031193468342271657
353,0.9569721691706,0.0003498494889,2,64,0.00872720181941986,0.031193252004906503
203,0.836270266563,0.0026409543209,5,612,0.02487075924873352,0.021832983227364065
345,0.9529239347648,0.0001345132116,2,64,0.004792124032974243,0.03285710268020361
345,0.9548480914563,0.0004597281816,1,64,0.0053127527236938475,0.03181716896597231
348,0.9527973499774,0.0003438014624,2,64,0.00490749478340149,0.03764161984765524
347,0.951785725611,0.0004435905638,2,64,0.006487444043159485,0.030985351797006323
355,0.9557672057015,0.000149324334,3,65,0.003033021092414856,0.03181738530333744
353,0.9581089742079,0.0001787233143,4,65,0.007008206844329834,0.03285667000547334
348,0.9582217917015,0.0002466752525,3,65,0.0028138548135757447,0.09751839408447109
345,0.9582427432677,0.0001556064804,4,65,0.004700863361358642,0.03327247042127375
539,0.4096195582972,0.0014614146338,2,269,0.05034210681915283,0.014766106857678096
345,0.9581565779827,0.0001621444765,3,65,0.004278483986854553,0.037431556266103595
356,0.9565218870392,0.0001826083035,4,65,0.00658625066280365,0.034936970108666275
354,0.9585179077969,0.0001941585403,3,65,0.007073822617530823,0.03348101964126937
582,0.0387496336331,0.0003356147463,1,83,0.0499968022108078,0.013724875119255953
355,0.9658479048237,0.000149324334,4,65,0.0035859793424606323,0.054899500477023896
345,0.9546779083562,0.0001479799503,5,64,0.008734014630317689,0.03888772307086561
289,0.9566951069463,0.0001482339228,4,64,0.004086053371429444,0.03347907260498308
279,0.9557186827642,0.0001480754334,4,64,0.0077679425477981566,0.03181803431543282
280,0.9567615160615,0.0001480883202,4,64,0.0034790515899658205,0.03431370215969591
526,0.1558490208903,0.0010597119829,3,71,0.051274862885475156,0.01434965742978227
284,0.9578526190529,0.0001653325737,4,64,0.005052715539932251,0.04533176416631153
900,0.4300912433377,0.0152683361273,5,574,0.0,0.48244379014410227
355,0.9557672057015,0.000149324334,3,66,0.008969393372535706,0.032024852836507335
280,0.957992175481,0.0001480883202,1,67,0.005133146047592163,0.038262291748243846
239,0.9587613612395,0.0001480883202,3,64,0.0036517441272735595,0.1183058188261102
241,0.9561835334432,0.0001471396249,1,64,0.003268030285835266,0.036182856994511514
921,0.0402320288874,0.0695202977577,2,410,0.0,0.4999074076077198
217,0.6966025769503,0.0609459009151,5,409,0.0,0.4724645801648924
254,0.9580125155411,0.0001457226549,2,64,0.001995629072189331,0.0713225352143146
435,0.6182493089424,0.0313142741224,3,206,0.03426178097724915,0.10395443069740676
193,0.4888227212062,0.0678987026873,5,198,0.0,0.4980135903132781
758,0.3443923914046,0.0083800859373,4,960,0.0,0.5024022101025223
763,0.3733430007487,0.0101863372516,4,945,0.0,0.5219448296451419
962,0.1658029844256,0.0009078367561,5,387,0.050215354561805724,0.01372574046871653
769,0.4952206938225,0.0106226631629,4,996,0.0,0.5119656196659318
632,0.2859097380484,0.0213235547463,3,145,0.04482531547546387,0.022873349616325655
386,0.315144292731,0.0088733912866,3,986,0.0,0.4506123429120308
418,0.3590845622606,0.0091076089623,3,1002,0.0,0.4506123429120308
355,0.9557672057015,0.0001512242179,4,65,0.006854903697967529,0.031193252004906545
247,0.9557746461288,0.0001541968835,5,65,0.004247722029685974,0.04242159393043887
241,0.9561835334432,0.0001591148558,1,65,0.00239921510219574,0.036392704238698004
917,0.2528729324812,0.0002112474838,2,84,0.04745328724384308,0.014557124962952205
248,0.9564341573521,0.0001446629673,4,65,0.006417292356491089,0.03826207541087874
869,0.3577941791914,0.0001144897283,1,85,0.035987484455108645,0.028282216419573337
226,0.9562032793255,0.0001495978565,1,64,0.0009996742010116577,0.1987863473815607
603,0.7481965207707,0.050363997522,2,431,0.0,0.5294292371295494
241,0.9557726671557,0.0001722496858,1,65,0.004145076870918274,0.04158977676147293
243,0.9557672057015,0.0001617687872,1,65,0.0057937830686569216,0.034935672084475414
959,0.0099039525899,0.0001330037572,5,856,0.050535351037979126,0.018508526937247027
242,0.9564088971254,0.0001668704338,1,65,0.0037485182285308836,0.0351440049671059
241,0.9563198362206,0.0001560477714,1,65,0.003967109322547913,0.03722300704610797
241,0.9561835334432,0.0001641084679,1,65,0.003953948616981506,0.03472733920184492
241,0.9567102793114,0.0001722637591,1,65,0.003965693712234497,0.03680742296767272
501,0.4344636044526,0.0343406853747,4,551,0.0,0.5275354198351077
241,0.9561835334432,0.0001592725532,1,65,0.005599269270896911,0.033481884990729925
241,0.8358405533325,0.0001481816436,1,65,0.01360710859298706,0.027242282705342034
242,0.8250492022393,0.0001491226294,1,65,0.01404115855693817,0.025787630262135975
355,0.9137569290511,0.034912055568,1,196,0.021070215106010436,0.04158739705045635
241,0.8236469641631,0.0001481698222,1,64,0.014217159152030945,0.02807409987430798
241,0.8066121139049,0.0001481000936,1,64,0.012785154581069946,0.02453936366527416
103,0.2833626254686,0.0005003261748,1,490,0.05139802694320679,0.014140891872421513
241,0.8073696872737,0.0001484661267,1,64,0.01564077436923981,0.02537074815950986
588,0.7587445757974,0.0613532539103,5,787,0.0,0.5175562098558977
263,0.9651609532337,0.0001585909153,1,65,0.0008965671062469482,0.1407674784365731
105,0.5175676044407,0.0804624104669,2,720,0.0,0.5198658275661396
263,0.9658479048237,0.0001458507769,2,65,0.0009545594453811646,0.264082372615151
254,0.9609883992806,0.0001457226549,1,65,0.0015149742364883422,0.11311739979794089
264,0.9595749340337,0.0001458150108,2,65,0.0021957844495773316,0.04928143544168517
258,0.9584408077072,0.0001577716253,2,65,0.005053851008415222,0.03161056678226293
40,0.9620762582155,0.0001590803365,1,65,0.0003880918025970459,0.44936429265253414
254,0.9609883992806,0.0001457226549,1,64,0.0017185688018798828,0.15158153430786106
254,0.9609360963058,0.0001457226549,1,64,0.0012502819299697876,0.16426366332713888
253,0.9618648930787,0.0001585909153,1,64,0.00115947425365448,0.19689772218388243
264,0.9619710687055,0.0001458150108,1,65,0.001622256636619568,0.12932539519428174
217,0.9662719899474,0.0001457923576,1,64,0.0006591796875,0.291541425360364
252,0.9621859648587,0.0001442454285,1,64,0.001541277766227722,0.1249886963726714
