batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
350,0.8583845954275,0.0003076181006,2,584,0.011229207274992926,0.020917143672704693
293,0.2033045303706,0.0184739249007,2,573,0.4506123429120308,0.0
78,0.8704589776266,0.0077151306209,3,775,0.30083571124153846,0.007588411370913187
728,0.9243185633936,0.0053481554927,1,537,0.12360803130834346,0.01385421653588613
611,0.9080141084104,0.0057926467112,1,537,0.21996296304308788,0.01023297980427742
724,0.9243185633936,0.0053481554927,1,537,0.015179743899827148,0.014047246426343918
135,0.9479945730209,0.0074436169192,3,810,0.38325267555236336,0.002813564489285151
579,0.9243185633936,0.0048653217659,1,537,0.18981678388546236,0.011805071433385213
718,0.9081003649999,0.0053591134883,1,537,0.014556043276126496,0.016933423529068632
279,0.2228827104129,0.0160774686116,2,570,0.36412585642554424,0.004448890189329783
