batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.020248785614967343,0.014556043276126519
979,0.3596079321578,0.0535361448362,4,65,0.019685423711780455,0.10208527586259115
652,0.7642785040662,0.0014379647071,3,136,0.022282282511393227,0.0149727090413875
94,0.005704017356,0.0050831004951,3,339,0.024907179921865464,0.01559619332772295
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5219448296451419
210,0.9998940778734,0.0138688325925,5,65,0.00010035037994384765,0.4999074076077198
211,0.9825001802347,0.0276143123845,5,209,0.004557026425997416,0.43213193983225207
222,0.9933108365034,0.0009091819004,4,253,0.008006749550501504,0.5219448296451419
218,0.9732562419318,0.0002522316817,5,440,0.012757597118616104,0.4701549624546503
211,0.9944579844809,0.0002642549148,5,107,0.002521902322769165,0.5827174569110053
53,0.9891336212997,0.0258846057016,4,391,0.0,0.5175562098558977
50,0.980733633241,0.0195457041149,5,144,0.008164960145950317,0.4277433200430078
70,0.9934743752385,0.0096012577269,5,75,0.018989155689875283,0.33130033900065115
51,0.9930286203317,0.0017282667492,5,68,0.030271534125010175,0.1981373352861386
42,0.993830830836,0.0001788794416,5,66,0.013908710579077405,0.5175562098558977
38,0.99328668721,0.0002412001419,5,66,0.016812069217363994,0.47057076287045074
36,0.9938302160007,0.0024217551017,5,69,0.030416289468606316,0.030570200393301317
48,0.9930012173114,0.0034752915314,5,72,0.02302474230527878,0.1286986658474692
38,0.9929003029385,0.0023321746374,5,73,0.026864661276340483,0.21476935191815522
277,0.0788153739624,0.0011246047718,1,788,0.020049599806467693,0.012893490625020255
895,0.7897473442105,0.011623077444,1,411,0.02940752555926641,0.01663569436722403
597,0.4199483890762,0.0062957704128,3,1002,0.015072244902451834,0.3251593865537674
50,0.9825001802347,0.0259083310183,5,145,0.028448648254076635,0.32869953119692974
36,0.4397926862151,0.0252356135581,5,150,0.03531952599684397,0.23608204378235595
49,0.2992160413219,0.026296438844,5,637,0.0,0.4780551703548582
50,0.5623958437071,0.027291880497,5,144,0.037574203312397005,0.13556110340709715
48,0.975317523812,0.0274187168339,5,242,0.0,0.5275354198351077
44,0.0803476254827,0.0265061404019,5,272,0.022264875968297324,0.4223606300609422
42,0.3069447081157,0.0303074237448,5,195,0.05148865381876627,0.2527140604143726
497,0.4323787825414,0.0004186695981,1,866,0.020638859768708544,0.011852691561328376
225,0.9796419680297,0.0028477593727,3,992,0.014649617175261179,0.13192403962435179
242,0.5897873412338,0.0912677296139,2,140,0.0,0.46059155289124065
88,0.9878537289333,0.0019917240591,3,975,0.0402861754099528,0.022669343480997983
73,0.4965529122575,0.0027404608065,4,1023,0.019759323447942734,0.016429524858244938
113,0.5058989855827,0.0025456404556,4,1021,0.025376777599255246,0.015389591144013637
142,0.3320551395361,0.0025018994314,4,985,0.027196289598941804,0.0170519274577547
164,0.197675416948,0.0022223899365,4,991,0.020234151432911553,0.015181258261383123
48,0.0215937353652,0.0010622362794,1,719,0.023461974660555523,0.016221840987709867
47,0.0081695893274,0.0010722040476,1,680,0.024796987076600392,0.01622075930088416
203,0.836270266563,0.0026409543209,5,612,0.01962732051809629,0.014765241508217564
48,0.0392411439993,0.0011078029985,1,694,0.024780812362829845,0.01622032662615387
41,0.0727161108018,0.0010701410514,1,681,0.021112662553787232,0.014972060029292078
41,0.4542401781884,0.0010868027268,1,702,0.02016654834151268,0.014972492704022322
45,0.4634678716707,0.0010836338899,1,665,0.02280155767997106,0.014556692288221961
49,0.4631900614424,0.0011092954599,1,662,0.027997394651174547,0.015596409665088129
163,0.7800571702406,0.0014309900176,2,992,0.023020806660254793,0.01642865950878436
434,0.7409961073139,0.0014491960503,2,996,0.023688378185033797,0.012893274287655122
420,0.7672641095009,0.0011211693419,3,994,0.025558068354924517,0.017260476677750325
539,0.4096195582972,0.0014614146338,2,269,0.023009579380353293,0.016220975638249313
515,0.7757789970567,0.0004725202944,1,999,0.021488559742768608,0.013933208001886466
185,0.7693610034741,0.0002230826401,1,994,0.019590464482704798,0.012477473871854716
295,0.7716252323569,0.0002622255702,4,994,0.019636513789494832,0.017468160548285417
582,0.0387496336331,0.0003356147463,1,83,0.04741697063048681,0.02890634971800421
83,0.9796419680297,0.00647787332,2,992,0.017790728807449342,0.30092419322388103
62,0.9776074097548,0.0063420530771,3,1012,0.0,0.5294292371295494
221,0.9790179178298,0.0066732757108,5,992,0.007711728910605113,0.4250406173403052
422,0.984399955913,0.0063423215227,3,1023,0.009905781348546345,0.47057076287045074
55,0.9850809985857,0.0066553410882,2,1018,0.011137135326862335,0.33805287717878774
526,0.1558490208903,0.0010597119829,3,71,0.02171674395600955,0.0147632944719313
110,0.9803733807955,0.006125537984,2,1023,0.02939298028747241,0.11351762392345117
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5119656196659318
156,0.9798669576139,0.0028596597303,3,664,0.016424744327863058,0.14241661817104065
161,0.9792617325908,0.0029285771982,3,605,0.02705851743618647,0.02661598603325972
158,0.9799036243664,0.0028254593181,3,642,0.01999386176466942,0.021629626104131817
160,0.9796419680297,0.0030692528643,3,627,0.024017130086819334,0.10092419322388105
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5275354198351077
217,0.6966025769503,0.0609459009151,5,409,0.0,0.5175562098558977
170,0.8990788431737,0.0041099289575,3,624,0.022862774630387623,0.016011777406158244
435,0.6182493089424,0.0313142741224,3,206,0.01702063605189323,0.12827875502173108
193,0.4888227212062,0.0678987026873,5,198,0.0,0.5298450375453497
246,0.9980444410388,0.0981550079126,1,111,0.0,0.46059155289124065
229,0.998948768289,0.0938724844466,1,86,0.02339855246245861,0.3460385383382262
962,0.1658029844256,0.0009078367561,5,387,0.021323057264089586,0.013933208001886466
242,0.6007749076026,0.0911642618067,2,132,0.0,0.4980135903132781
632,0.2859097380484,0.0213235547463,3,145,0.043486382563908896,0.024120750863726937
49,0.4551386707808,0.0229563671527,3,598,0.0,0.5198658275661396
48,0.3212253417785,0.0225232380842,5,601,0.0,0.5119656196659318
433,0.9864024428456,0.0044467718754,4,961,0.004303949574629465,0.39385558615527394
208,0.9796419680297,0.0041538198407,4,992,0.025516540805498762,0.22504061734030517
210,0.9795034754164,0.0040515018064,4,983,0.023767879356940587,0.3919844842841721
917,0.2528729324812,0.0002112474838,2,84,0.0453200618426005,0.02724206636797686
443,0.9868159901226,0.0040772787277,4,869,0.012604643901189167,0.3412795489798611
869,0.3577941791914,0.0001144897283,1,85,0.07751128574212393,0.04055049205933699
204,0.9810711622485,0.0043574436272,4,830,0.012413207689921062,0.3273502350505472
603,0.7481965207707,0.050363997522,2,431,0.0,0.48244379014410227
185,0.7950120166591,0.0002316774198,5,994,0.021892299254735313,0.012476824859759294
188,0.7681244309148,0.0002304322658,4,994,0.026509877294301987,0.014349224755052004
959,0.0099039525899,0.0001330037572,5,856,0.02248028169075648,0.01851047397353327
276,0.8455101975279,0.0002277159648,4,1013,0.021964040646950404,0.012060591769228579
179,0.9436678090822,0.0002306694516,5,989,0.023440339167912803,0.014140459197691246
180,0.7521789811612,0.0002340379493,5,986,0.020431097596883774,0.015389807481378725
195,0.3402168480181,0.0002480398493,4,1002,0.020755164325237274,0.014973574390848055
501,0.4344636044526,0.0343406853747,4,551,0.0,0.5098866175869297
48,0.9765937830334,0.0028477593727,3,992,0.022240052372217177,0.02370819550840362
32,0.974079543554,0.0028563340634,2,664,0.019240785638491315,0.09854967430409678
555,0.9747187162738,0.0028558454313,4,620,0.02812029644846916,0.028907647742195074
132,0.1111055705297,0.0028486759756,1,941,0.02411715735991796,0.016219893951423602
355,0.9137569290511,0.034912055568,1,196,0.029180335998535156,0.022458414549985827
766,0.5933346560046,0.0028508105367,1,951,0.021412581205368042,0.01393299166452131
814,0.6435732862881,0.002849000148,2,876,0.02223020891348521,0.014140675535056357
103,0.2833626254686,0.0005003261748,1,490,0.021059090147415797,0.01330907470345557
433,0.9838317800779,0.0045528593367,4,602,0.021306407948335014,0.3763919686916565
441,0.1020683828299,0.0037946946911,5,771,0.021931696931521097,0.016219461276693315
219,0.9814743767519,0.0046691913124,5,716,0.014186213041345277,0.40653749883718665
105,0.5175676044407,0.0804624104669,2,720,0.0,0.5194500271503393
220,0.9941987705001,0.0045877330941,5,230,0.03179651163518429,0.21144100155546566
219,0.9990747663398,0.0044661341605,5,231,0.023382584750652313,0.4940634863631742
211,0.9975766733733,0.0048485568177,5,202,0.02748171140750249,0.41653942423973644
201,0.6181270657455,0.0046486425747,5,93,0.028637531648079556,0.013309507378185837
