batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
326,0.4229433740754,0.0093734861466,1,213,0.012476824859759294,0.1721405062756755
64,0.9538720225382,0.0009772347054,4,71,0.018924111015682275,0.06379714061816534
891,0.5538059097267,0.0146353797353,3,64,0.016636343379319452,0.1371995976883354
59,0.9586148272902,0.0011212484694,4,73,0.04179399923416569,0.034906431842934
32,0.9576942349352,0.0002504745182,4,71,0.1077130760793612,0.021384164853529498
59,0.9562509319454,0.0088451834732,4,69,0.3709865632862511,0.0030902807549996808
44,0.9598177743173,0.0009894582317,3,66,0.17639196869165652,0.017866206394903585
43,0.9597645933686,0.0009866450739,5,66,0.3104146970952382,0.010846092908671407
32,0.9577294643704,0.000897594565,4,64,0.2393857316854195,0.012009192985115633
