batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
173,0.61269731651,0.0006402612757,2,338,0.012060808106593735,0.048964133858680724
60,0.8404439921218,0.0007764567884,5,75,0.013932342652425888,0.027892187237739563
244,0.9875431330452,0.0001006574459,1,75,0.3659621279808585,0.00037721693515777586
47,0.9200431947056,0.0007335374306,2,64,0.014349441092417158,0.011634647846221924
433,0.9870938318823,0.0001003245687,2,65,0.22080473173085036,0.000702357292175293
448,0.7609485436709,0.004246983446,1,351,0.013725091456621107,0.041410455107688905
435,0.9877127662768,0.0001000140615,1,88,0.15490512524851754,0.0008309036493301392
41,0.9200995493622,0.0003121448015,4,141,0.017467727873555106,0.0035243481397628784
473,0.9869453019561,0.0001000140615,2,392,0.05593359308239643,0.001060923933982849
