batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.15801598712524528,0.025368368448493283
979,0.3596079321578,0.0535361448362,4,65,0.249155799776586,0.023912634318461558
652,0.7642785040662,0.0014379647071,3,136,0.15670548425138198,0.02786425263012151
94,0.005704017356,0.0050831004951,3,339,0.26001488130136574,0.020169132552066982
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5219448296451419
662,0.9189516277444,0.0001154755458,3,728,0.09025859377851467,0.0910695935669921
691,0.9039417072989,0.0002203649263,3,744,0.13953342876018252,0.03264963514703367
652,0.84480075644,0.0002010922502,3,732,0.15052356109760787,0.028698016835373742
670,0.9893940832357,0.0002035486803,3,699,0.00043007967141133716,0.468907561207249
652,0.963873231668,0.0001134915773,3,713,0.001832389797063297,0.37680776910745695
665,0.6487076346924,0.0001078385962,3,701,0.1824181495273529,0.019546946289922353
810,0.9784494518445,0.0004867392196,3,757,0.0001672233739744197,0.4504042263667654
682,0.7973441911207,0.000185795339,3,784,0.14765111036639467,0.02869844951010401
690,0.9323945440935,0.0001469333298,5,726,0.04963794535823492,0.28878182593062923
691,0.9151939491565,0.0001507822917,2,726,0.07234735834170297,0.0538550236781246
475,0.9131428809028,0.0001135226535,3,729,0.10361725085331211,0.045748429931572465
187,0.9334160504663,0.0001182074564,2,726,0.06384490260289885,0.0565592407423833
454,0.9150093228898,0.000132889879,3,728,0.10995608021679341,0.04658003076317332
475,0.9314272389491,0.000146754955,5,726,0.033618696481834284,0.30125627107937203
277,0.0788153739624,0.0011246047718,1,788,0.29887175840303337,0.01372487511925593
895,0.7897473442105,0.011623077444,1,411,0.20380303420034834,0.09668960563861709
597,0.4199483890762,0.0062957704128,3,1002,0.05031810092429321,0.41799472569503787
48,0.9922889404613,0.0001232128731,1,726,0.0017832772231741606,0.42088261318230097
35,0.9562955425569,0.0001231831618,2,729,0.0008303226736678975,0.4506123429120308
70,0.9233487080573,0.0001210312504,2,726,0.047289754705808054,0.0696606315753038
37,0.9563741826043,0.0001257039898,1,493,0.004742737749564968,0.34767988992754867
226,0.9904407980038,0.0001238954249,1,506,0.00935571838511866,0.3516100908400596
691,0.9523356802628,0.0001235667468,1,740,0.03365890009898543,0.05344290099753157
690,0.9978382663046,0.0001254583171,2,464,0.0025950541327568583,0.47618125609800954
497,0.4323787825414,0.0004186695981,1,866,0.20640803585211454,0.01871469644622612
691,0.9449470503015,0.0001207397145,1,740,0.03343847068328546,0.05885349849970036
242,0.5897873412338,0.0912677296139,2,140,0.0,0.4999074076077198
704,0.941672892059,0.0001195545819,1,752,0.038246490761888546,0.05988521139405634
538,0.9422738372968,0.0001207420077,1,742,0.028903490786577935,0.10978515536267879
50,0.9436427485396,0.0001208829502,1,740,0.011907204125319704,0.1451537185148007
58,0.9428782568591,0.000119875467,1,751,0.013492538791432682,0.13412051289262528
66,0.9401607350928,0.0001567269051,1,738,0.020049531282955987,0.11873633018274017
704,0.9523214557715,0.0001027726734,1,176,0.010652525680618927,0.23557732870948273
691,0.9523651299602,0.0001167434916,1,118,0.00768800345856255,0.4050997207084617
203,0.836270266563,0.0026409543209,5,612,0.12401394847924914,0.05115556603589899
696,0.9523526791189,0.0001148746135,1,78,0.007606451030240794,0.37114362421334335
691,0.9523356802628,0.0001038002887,1,154,0.008744043685428688,0.26612416466734884
691,0.9517740027855,0.0001078195302,1,149,0.00864714737064781,0.2819801791706058
691,0.9518147211568,0.000100456822,1,73,0.007166816661761719,0.3285541524875552
695,0.9478542877394,0.0001174616138,1,70,0.007339224717351478,0.4034187793813183
722,0.9443271426757,0.000146577946,2,758,0.020247670210222217,0.055730019621799
772,0.9436612957599,0.0001371838119,2,771,0.011166733123958468,0.08234232791985133
710,0.9449693916942,0.0001270325877,2,757,0.01817710193092121,0.08940920428953728
539,0.4096195582972,0.0014614146338,2,269,0.1889877084241562,0.02245754920052525
711,0.9466956967539,0.0001607175528,2,755,0.015973932630803177,0.07569795842428517
713,0.9462797420621,0.0001610029845,2,739,0.014481462915809637,0.09751623071081965
704,0.9321213790499,0.000123093723,2,752,0.061083763457133136,0.043459796945749064
582,0.0387496336331,0.0003356147463,1,83,0.2894948044404496,0.014348792080321715
728,0.9373204095936,0.0001592819177,1,766,0.04340555791843788,0.0792322619585887
722,0.9405513339837,0.0001614849206,1,758,0.03883696618965889,0.06009852003608509
725,0.9387469167129,0.00015934684,2,771,0.02067832563546409,0.11269186420070913
720,0.9396563669432,0.0001601815204,1,756,0.039745873892561054,0.06986550306009201
719,0.9394121220175,0.0001638058429,1,760,0.04637054867006492,0.07423227277545694
526,0.1558490208903,0.0010597119829,3,71,0.2693592121017699,0.014764159821391832
724,0.6687034345499,0.0001600196179,2,759,0.15451512008659565,0.024121832550552648
900,0.4300912433377,0.0152683361273,5,574,0.0,0.4980135903132781
946,0.9444299683184,0.0001483519527,3,789,0.0022845435694768008,0.3312183471392628
722,0.9443271426757,0.000146577946,5,758,0.0002856699115900881,0.4506123429120308
726,0.9436612957599,0.0001474471144,5,771,0.0006173639038984921,0.4506123429120308
749,0.944612364099,0.0001493686428,5,800,0.00019069147274097196,0.4506123429120308
921,0.0402320288874,0.0695202977577,2,410,0.0,0.4805499728496606
217,0.6966025769503,0.0609459009151,5,409,0.0,0.5194500271503393
725,0.9520577148005,0.0001490451625,4,741,0.00044009181822150334,0.4506123429120308
435,0.6182493089424,0.0313142741224,3,206,0.12965076116217172,0.2239158793789387
193,0.4888227212062,0.0678987026873,5,198,0.0,0.4701549624546503
946,0.9454470082735,0.0018323535888,3,789,0.00527621089705844,0.4506123429120308
932,0.9455763414415,0.0150340794365,3,736,0.0,0.4980135903132781
962,0.1658029844256,0.0009078367561,5,387,0.28135068931533275,0.014557341300317338
931,0.9461932452646,0.0001106554161,3,269,0.002270839238491796,0.4003004926001804
632,0.2859097380484,0.0213235547463,3,145,0.21452284608570454,0.027448884889051374
938,0.9467524802983,0.000118246204,3,184,0.0014396298842864123,0.4408406004659907
945,0.9432081483794,0.0793525760652,3,118,0.03928901503483454,0.4464770541773664
749,0.9449507105819,0.0001493755939,1,786,0.02988524469437707,0.0652904004620966
722,0.9443271426757,0.0001499347989,1,758,0.032664421177002974,0.075686925218663
732,0.9454672791769,0.0001834063257,2,747,0.006094518403542395,0.19796534708085176
917,0.2528729324812,0.0002112474838,2,84,0.24817810941842072,0.019963395717818178
801,0.9445529624057,0.0033511188781,1,749,0.019485068323642774,0.49988469218438
869,0.3577941791914,0.0001144897283,1,85,0.21162013739544752,0.03389638738233951
730,0.944894265529,0.055259207371,1,748,0.030929621778152606,0.4381383304380183
603,0.7481965207707,0.050363997522,2,431,0.0,0.5219448296451419
734,0.9449102058921,0.0001476315998,1,760,0.03482696535610098,0.08379330262784994
661,0.9469510743239,0.0001476385148,1,760,0.036865434127268525,0.07880304862614954
959,0.0099039525899,0.0001330037572,5,856,0.29751778951765034,0.012684941405024653
645,0.9442660680021,0.0001453671479,1,758,0.0462732037950335,0.05427039141919474
749,0.9449507105819,0.0001466207659,1,786,0.029127483824833832,0.07652285279756663
577,0.9443271426757,0.0001458844641,1,758,0.04185979333853339,0.06965565581590553
668,0.9488216393654,0.0001463232443,1,755,0.033985115305775596,0.09086623644375984
501,0.4344636044526,0.0343406853747,4,551,0.0,0.5394084471087592
169,0.9548533197717,0.0001605986459,2,739,0.00416069522698785,0.2775980495023159
720,0.9444366321754,0.0001451913856,2,752,0.014147641253271332,0.0785986098160916
722,0.9443271426757,0.0001469496186,2,758,0.011147840844325062,0.07944405623906141
722,0.9445838814075,0.0001505736566,2,758,0.014803005273834529,0.12455342559400835
355,0.9137569290511,0.034912055568,1,196,0.21600125089533115,0.2049986911589409
725,0.9449102058921,0.000145798711,2,760,0.011991867447946232,0.12750058951932
711,0.9446672340813,0.0001546834294,2,755,0.01688134947120399,0.0983461008434994
