batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.023727475305398305,0.012893274287655142
979,0.3596079321578,0.0535361448362,4,65,0.08010105151118654,0.17389911323314028
652,0.7642785040662,0.0014379647071,3,136,0.10438981664903235,0.01871491278359123
94,0.005704017356,0.0050831004951,3,339,0.04603209923614156,0.015803877198258043
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5075769998766877
739,0.9221839981008,0.0001237686954,5,659,0.1261221942395875,0.04866249424001765
740,0.6267379405494,0.0002119175725,3,703,0.023811187382900355,0.01310095815819019
33,0.6268298187671,0.0001780694,5,667,0.024260082533865263,0.012893490625020276
486,0.891998444527,0.0002083253538,3,775,0.13376859538482896,0.028906133380639097
358,0.908461500864,0.0001035167214,4,669,0.13215024969794534,0.046577867389521896
462,0.9574573999791,0.0001186954549,4,712,0.1006157391721552,0.0388853433598491
420,0.6947489310758,0.0001501316569,3,673,0.02560693890759439,0.014764159821391875
374,0.8264355017721,0.0001868756794,3,673,0.10972140292326608,0.023705599460021952
39,0.195438854432,0.0002085943767,2,694,0.02531666338443756,0.013102039845015923
41,0.1061911100289,0.0002054115384,1,697,0.02527955381256162,0.013724875119255974
568,0.2643347910522,0.0002068920855,1,694,0.023750956437804484,0.012685590417120075
48,0.5862763896988,0.000210147218,2,697,0.025215635742201946,0.013101607170285634
41,0.2375058277669,0.0002043587582,1,682,0.02637481980251543,0.013725524131351374
59,0.2012861308184,0.0002042637601,2,689,0.02566858412641468,0.01351697491135575
277,0.0788153739624,0.0011246047718,1,788,0.024390785161292915,0.013517191248720906
895,0.7897473442105,0.011623077444,1,411,0.12038128448255137,0.021002896757319235
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
293,0.4582177983274,0.0458202961529,2,730,0.0,0.5119656196659318
296,0.3716178616243,0.0047469021624,2,765,0.027721876538161078,0.01622075930088416
296,0.3284477815105,0.0013429194798,2,695,0.026754149162408074,0.014765457845582697
297,0.5384353354818,0.0003263611372,2,697,0.026630514760812123,0.014349441092417158
576,0.3070864114836,0.0001757549445,2,699,0.025305990820581263,0.014556908625587095
546,0.6402953837906,0.0001772984533,2,695,0.02622395991375952,0.01518039291192257
547,0.3771454535856,0.0001997561019,2,695,0.024479106420820407,0.012685157742389786
497,0.4323787825414,0.0004186695981,1,866,0.024151863961508778,0.01372509145662113
614,0.6150962986293,0.0002078580582,1,697,0.026248745105483317,0.014349224755052004
242,0.5897873412338,0.0912677296139,2,140,0.0,0.5024022101025223
297,0.6200439061895,0.0002123989194,1,697,0.02612290547652678,0.013932991664521287
568,0.6161099888897,0.00020900677,1,88,0.03091516874053261,0.0149727090413875
559,0.620360062482,0.0002073568439,2,103,0.025079643934062035,0.01289305795029001
593,0.6139085197593,0.0002078555422,2,65,0.02681784954938022,0.01414024286032609
559,0.6193078762217,0.0002070378532,2,112,0.02612593766414758,0.015180176574557414
687,0.6217825965206,0.0002109765411,2,718,0.026126727904334214,0.013309291040820681
622,0.6224322277293,0.0002100860733,2,264,0.027052118001562174,0.014764592496122142
203,0.836270266563,0.0026409543209,5,612,0.09856703173030508,0.017884177301450956
32,0.6231120015205,0.000210147218,1,697,0.02532264961437745,0.012893490625020276
772,0.622292313543,0.000210879399,2,139,0.0328365522442442,0.014972276366657189
713,0.6226191416483,0.0013336595309,1,678,0.025175142477859153,0.01538872579455306
691,0.6232544588804,0.000520220029,2,185,0.028684450622760888,0.014764376158757008
689,0.6239868723422,0.0007664262266,1,188,0.02484919393604452,0.013932558989791021
568,0.1691070861598,0.0002068920855,1,694,0.023850138693144826,0.013101607170285634
740,0.6203752883972,0.0001953097114,3,703,0.028467011162728977,0.01518039291192257
539,0.4096195582972,0.0014614146338,2,269,0.02681831114219897,0.013309291040820681
746,0.1065811976814,0.0002103129838,3,976,0.02551486601432164,0.013933640676616732
792,0.3557370607372,0.0001899406794,4,693,0.025693668217370003,0.013725091456621107
748,0.3402365959772,0.0001936513164,4,700,0.02736648434942419,0.013725524131351396
582,0.0387496336331,0.0003356147463,1,83,0.027015129309712033,0.013724875119255953
761,0.2880929277322,0.0002067705002,4,932,0.025263852215174475,0.01351697491135575
568,0.2968165118312,0.0002068920855,1,694,0.024454207799651406,0.013933208001886466
568,0.2520163615944,0.0002068920855,1,694,0.024069204312382318,0.013517623923451173
165,0.6209824083036,0.000210147218,4,697,0.02645152146166021,0.014972709041387523
737,0.6653558492002,0.000333975123,1,724,0.027274075972311424,0.014764376158757008
526,0.1558490208903,0.0010597119829,3,71,0.029312900088050146,0.015388725794553037
720,0.6345798296876,0.0003429463363,1,703,0.026608891396811517,0.014348575742956582
900,0.4300912433377,0.0152683361273,5,574,0.0,0.5294292371295494
162,0.6965784481541,0.0002069055936,1,726,0.024004088161569653,0.013101390832920478
301,0.6638867679322,0.0002103167779,2,696,0.02623015437162284,0.01372530779398624
307,0.649486208216,0.0002085821794,5,703,0.02505221833785375,0.015388509457187926
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5019864096867218
217,0.6966025769503,0.0609459009151,5,409,0.0,0.5298450375453497
307,0.6452905368717,0.0002117898288,5,705,0.02671081206112197,0.013516325899260306
435,0.6182493089424,0.0313142741224,3,206,0.006320840716362,0.41539175451766497
193,0.4888227212062,0.0678987026873,5,198,0.0,0.5198658275661396
403,0.7086037105934,0.0006140385396,1,865,0.02467678792548902,0.013724442444525664
751,0.1329294829041,0.0792862967075,3,167,0.0,0.5024022101025223
962,0.1658029844256,0.0009078367561,5,387,0.02424322893222173,0.012893057950289988
773,0.110822262306,0.0725285076943,3,109,0.013370919227600097,0.3917992994996117
632,0.2859097380484,0.0213235547463,3,145,0.029898641723575016,0.017678007792471907
736,0.1008813191916,0.0847251001217,1,123,0.04946295786987652,0.02475029259628634
728,0.0911306070768,0.0871589516855,1,100,0.04801311018792065,0.023085360234163566
737,0.2003486965657,0.0991301672692,1,143,0.05486359719074133,0.03202571818596793
778,0.2506317249814,0.0813899856966,1,324,0.014602524042129517,0.2881585579816589
917,0.2528729324812,0.0002112474838,2,84,0.028580040751081524,0.01476502517085243
568,0.2651385994935,0.0002068920855,1,604,0.02499708532383948,0.012893706962385409
869,0.3577941791914,0.0001144897283,1,85,0.05740269554383827,0.027242931717437434
162,0.7126017487744,0.0002069055936,2,726,0.02377410187865749,0.0149727090413875
603,0.7481965207707,0.050363997522,2,431,0.0,0.4999074076077198
459,0.6203293423628,0.0002080801263,3,418,0.02396638281417615,0.013517623923451193
562,0.6218354077535,0.0014108385286,5,615,0.02598524915449547,0.014557124962952205
415,0.7949672423678,0.0010980514452,3,113,0.10620032982392744,0.016636559716684585
162,0.7300521287587,0.0001667224813,3,726,0.02569405584624319,0.014348359405591449
173,0.7294493120098,0.0001158793673,3,802,0.023887996276219688,0.0131020398450159
740,0.7287499596444,0.0002119175725,3,703,0.036032880680127576,0.015388942131918193
501,0.4344636044526,0.0343406853747,4,551,0.0,0.5298450375453497
79,0.734142934719,0.0001742463924,5,823,0.02704011796098767,0.015804526210353463
167,0.7331665279911,0.0001073884302,2,797,0.023850828174388772,0.012893057950289988
53,0.7360631018309,0.000167450487,5,799,0.02631492865808082,0.013933208001886466
44,0.7314012826055,0.0001154703332,4,763,0.026365382030154722,0.012893057950289966
59,0.800605819561,0.0001177028126,4,507,0.02549713285583438,0.01393299166452131
210,0.6074596701232,0.0002085543103,2,697,0.023414370038292626,0.01351697491135575
219,0.6213312643351,0.0001809369507,2,685,0.024282742151708316,0.012685590417120052
103,0.2833626254686,0.0005003261748,1,490,0.025340304338570797,0.013725091456621107
222,0.3246262664279,0.00020819415,2,694,0.024466524819533035,0.013517191248720906
588,0.7587445757974,0.0613532539103,5,787,0.0,0.5079928002924882
513,0.2631811578307,0.0002068920855,1,694,0.02455461293458939,0.012684941405024653
868,0.1501562003277,0.015617530088,1,257,0.028102135387333953,0.015597058677183528
782,0.1035460422572,0.0824490853164,1,405,0.06813026623292404,0.21892908677508055
795,0.2848832296999,0.082589367221,1,387,0.08187487732280385,0.12275371505340286
791,0.16660274826,0.0813060050807,1,387,0.06683724706823177,0.20063668086560904
794,0.1680838819431,0.0812911653293,1,397,0.03660800099372864,0.30404269634238423
785,0.1678792653123,0.082188284938,1,268,0.03378633119843223,0.28054997284966066
781,0.1307023105184,0.0824186830056,1,279,0.030471024585492678,0.20811805962690455
775,0.1126749660474,0.0828944448297,1,272,0.041601516550237486,0.27909467139435923
804,0.1224329205595,0.0825877464186,1,281,0.015292612810929617,0.321113228813541
310,0.4442317783093,0.0768724013506,2,66,0.07068549577033881,0.022250298004720493
322,0.4224081373428,0.0795423206197,2,72,0.048522843285040425,0.015803228186162598
316,0.4113820590264,0.0772992259587,2,70,0.0407009832425551,0.016636343379319428
333,0.3687126937941,0.0797923490662,2,70,0.03855558686184161,0.12827983670855678
446,0.3218097159583,0.0774053748592,2,69,0.04106868481094187,0.02828070205801734
344,0.4512072949064,0.0767170185204,2,71,0.07129765646927284,0.12557540330693295
327,0.338882166465,0.0774526586131,2,79,0.0668950338887446,0.02037789810942776
327,0.4588383066686,0.0772235153024,2,74,0.0534960598024455,0.020170430576257826
205,0.4795065099101,0.0002090336035,5,350,0.02623039056857427,0.013516758573990595
185,0.5531050776144,0.0002094141177,5,410,0.024849942687785988,0.013933424339251576
197,0.6064913927636,0.0002085543103,3,699,0.025224494374159613,0.013101174495555323
185,0.5020631073871,0.000209941501,5,345,0.02478220067240975,0.013725524131351374
197,0.4494525123152,0.0002078095237,5,349,0.02504351488568566,0.013932342652425867
169,0.5926599109026,0.00020819415,5,346,0.026013313649278696,0.01351697491135575
199,0.4655264594857,0.0001876822736,5,345,0.02529853927366661,0.013309291040820681
174,0.4372683691139,0.000156108265,5,414,0.027260846558845402,0.014349008417686871
210,0.6111954236333,0.0001082930976,3,326,0.0249095924875953,0.014765241508217586
725,0.5275737085407,0.0962149393336,3,78,0.0,0.4980135903132781
173,0.7596808365787,0.0002074786429,2,740,0.025170517338044717,0.014348575742956605
49,0.6064913927636,0.0002085543103,2,311,0.024659501765713545,0.01226957366395447
323,0.7529144194927,0.0001056526386,3,303,0.03337207409468564,0.018299761379886224
133,0.7102608474673,0.0002008449034,2,188,0.024353819823626315,0.012476824859759272
171,0.7163425403335,0.0001983031847,3,189,0.02604593330260479,0.014557124962952205
743,0.2397009540475,0.01444279868,3,91,0.03120837817589442,0.014556259613491673
210,0.6071311882582,0.0002085543103,2,697,0.026332209796616525,0.013516758573990617
216,0.6135640297228,0.00020819415,2,694,0.025451406421083393,0.013725091456621107
139,0.758238134908,0.0002021229291,2,802,0.026055764041163703,0.014348792080321738
162,0.7575272632168,0.0001779421728,2,726,0.026746033502347544,0.014556692288221939
162,0.756237122368,0.0002069055936,2,726,0.02369611592906894,0.014348359405591472
32,0.7763617425706,0.0001934973768,5,310,0.026615257741826954,0.013933208001886443
214,0.7959853325893,0.000205932287,2,317,0.0301938067873319,0.017260260340385192
581,0.1364528363682,0.0001330391176,2,326,0.02604482893690918,0.014348792080321738
251,0.4199105280591,0.0562930961149,2,1005,0.08289455793120645,0.3231695154692033
257,0.4229734043069,0.0967073540595,3,913,0.04979340813376687,0.438161045861358
47,0.3277720895297,0.0893964226586,5,1021,0.0,0.5000925923922803
248,0.4215916337119,0.0422435497808,2,898,0.0,0.4999074076077198
40,0.4197199726385,0.0583512858969,2,966,0.015941143035888672,0.4522982599985722
993,0.7315501569945,0.0358509092105,5,399,0.0,0.49200719970751194
231,0.419225071674,0.0984142443181,3,524,0.07391964395840962,0.4179114358094587
233,0.4251107665899,0.061283657045,2,511,0.0,0.5493876570879693
153,0.6092853094269,0.0002085543103,2,697,0.026258453076536008,0.01372509145662113
915,0.2951589262888,0.0066119680367,4,325,0.029025734319831388,0.014764376158756986
843,0.61758470301,0.0002358545691,3,857,0.02447927606828285,0.01351697491135575
976,0.3603359633198,0.0163222644592,1,278,0.026616110855882818,0.015596193327722996
847,0.625837962192,0.0002864742824,3,889,0.026947381938948772,0.014348359405591427
116,0.64791510025,0.0617465045615,2,279,0.0,0.48244379014410227
843,0.5959142149873,0.0002191566059,3,858,0.02508849182815263,0.013933208001886443
847,0.6028326010015,0.0004036766979,3,878,0.02547551920919707,0.012893274287655122
210,0.6074596701232,0.0002083349551,1,697,0.025713058728160283,0.014349008417686871
750,0.6120769816993,0.001083973841,3,342,0.024582018834171875,0.014556692288221918
498,0.6579712863223,0.00944846031,4,146,0.02928570841297958,0.016636343379319452
60,0.6075250003061,0.0002069055936,1,726,0.025540036667477,0.013517407586086017
744,0.6247768868194,0.0011138875673,3,188,0.02666466707533056,0.015179743899827125
743,0.630318361311,0.0014180172176,3,418,0.025256845228599778,0.017259827665654905
178,0.7223423999676,0.0001064674137,1,799,0.02392371767398083,0.013516758573990617
741,0.4623078161391,0.0011109270573,3,188,0.02690305297121857,0.014140459197691246
511,0.7110425807937,0.0001150171613,2,738,0.041767972563252306,0.01663655971668456
188,0.2461939552216,0.0409216311654,2,474,0.0,0.4506123429120308
918,0.7048704365609,0.0001164147876,2,739,0.027375941664883587,0.014972060029292055
162,0.7045936738827,0.0001152847487,2,726,0.02468599902861046,0.013309507378185837
588,0.1526816514889,0.0001271356585,1,112,0.0415885840401505,0.016221191975614446
162,0.7116113731862,0.0001135541113,2,726,0.02550551838043964,0.01518039291192257
727,0.4088135993259,0.0114124996984,3,75,0.029023219337969114,0.01621989395142358
878,0.6377873532198,0.0001713264429,3,405,0.03994356580755927,0.015804093535623176
211,0.4755979965245,0.0001800988496,2,226,0.02508027201349085,0.014141108209786668
876,0.1695518711152,0.0002024110096,5,341,0.02742325902888269,0.014140891872421513
881,0.1703486983555,0.0002011988062,5,346,0.02634759503783602,0.01476502517085243
252,0.6635356507175,0.000207111352,2,984,0.02522849732276165,0.014349224755052004
882,0.1721211301066,0.0007178757601,5,351,0.02494470818476243,0.012685806754485229
842,0.7485566485621,0.0001850350433,4,241,0.061802150805791226,0.025369450135318994
501,0.8852624990714,0.000590316826,3,594,0.11383028962395407,0.014348143068226293
879,0.1766948000169,0.0008812572695,5,351,0.026237599235592463,0.013309291040820681
110,0.7513908522344,0.0002069055936,2,726,0.025535318634726783,0.012476824859759272
85,0.7482198264155,0.0002069055936,2,726,0.026061012230136175,0.013932558989791021
173,0.7101351307562,0.0001156861736,2,802,0.02331485375310435,0.01289305795029001
171,0.7286638836056,0.0002057295919,2,727,0.024628955748948182,0.013308642028725259
171,0.6169802188929,0.0001093745921,2,882,0.025806949843059885,0.013725524131351374
269,0.6164928296166,0.0012709749972,2,347,0.024091220678705155,0.014556259613491652
228,0.6159189118303,0.0013032074726,2,711,0.025572460104118695,0.013309940052916126
383,0.6200566021146,0.0013903563066,2,350,0.03340968897848418,0.01622075930088416
173,0.720506843006,0.0001156861736,1,802,0.02391369755520965,0.012268708314493938
196,0.7233122810005,0.0001158420182,1,813,0.02518076650120995,0.01185377324815411
222,0.3646827688118,0.0162151725013,4,81,0.027739850029800877,0.016844459924584786
173,0.7233914381715,0.0001158793673,1,802,0.025943636578140833,0.014556475950856785
178,0.7209807520726,0.0001153945533,1,799,0.026615257380586683,0.014140459197691224
187,0.7147265445786,0.0012247399936,1,987,0.02465677335406795,0.014556908625587095
260,0.6205534597647,0.0001157097892,1,697,0.024083049387642833,0.013517191248720906
162,0.7615013050519,0.0002070419181,2,726,0.02763286125479323,0.014763943484026742
632,0.0451112574699,0.0094991874608,4,77,0.030581420244592605,0.01559662600245324
170,0.7114780991005,0.0001079768858,2,1001,0.023399698851686534,0.013933857013981865
173,0.7116785838201,0.0001156861736,2,802,0.024791873955365383,0.01310095815819019
218,0.7059547606393,0.0001106989575,2,822,0.025398250140927052,0.013516542236625462
162,0.4785052444178,0.0001155460324,2,812,0.023683688351602266,0.012685157742389786
56,0.1142479024932,0.016596344271,2,374,0.051127654440475234,0.12536707042430248
