batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
597,0.4199483890762,0.0062957704128,3,1002,0.4506123429120308,0.0
256,0.2160318890413,0.001646965245,1,571,0.013308642028725259,0.007152594299986959
635,0.2849739369209,0.0088640985016,5,539,0.1865790788787667,0.004590004403144121
974,0.2113501274412,0.0194120441263,4,411,0.2763919686916565,0.0036901306360960008
973,0.2367286821709,0.0181070126468,4,439,0.3880343803340681,0.0008371487259864807
475,0.3263458735384,0.0531020876499,5,145,0.31976890842655675,0.0023597419261932374
590,0.2184539517736,0.0069452484692,5,1021,0.3632942555939434,0.0019501002505421638
638,0.2815445472834,0.0094208145516,4,563,0.20062954173255942,0.0042307587340474125
924,0.1624561088543,0.0003187814957,2,101,0.011645440365523596,0.007944988086819649
32,0.7316651690763,0.0001038408326,5,144,0.014556043276126474,0.006986603979021311
