batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.008913323376327753,0.012893057950289988
979,0.3596079321578,0.0535361448362,4,65,0.009515789151191712,0.018092077509351177
652,0.7642785040662,0.0014379647071,3,136,0.03359974436461925,0.018505065539404765
94,0.005704017356,0.0050831004951,3,339,0.013564831949770451,0.019966424440930174
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5079928002924882
310,0.519776156806,0.0001397076156,1,579,0.009144748467952013,0.01268494140502463
297,0.5921125032506,0.0002187815647,2,545,0.01162397563457489,0.012685157742389786
392,0.4790894687731,0.0002020177373,1,553,0.008674550335854292,0.012269357326589358
294,0.486949517192,0.0003994006188,2,564,0.008710629120469094,0.01351697491135575
717,0.6181691570896,0.0002189329303,2,586,0.01152331605553627,0.01393299166452131
815,0.50994442186,0.0001433023995,2,631,0.009972249716520309,0.01289305795029001
316,0.6158333479659,0.0001370261964,2,557,0.011192027293145657,0.012477257534489583
532,0.488992546875,0.0001259979889,2,605,0.00877706501632929,0.01310095815819019
127,0.4175422439649,0.0768098811065,1,562,0.01817222312092781,0.3356435279432158
141,0.4640356787491,0.0627138951737,1,568,0.019204428791999816,0.13015634701378714
119,0.4736263541522,0.0016361708272,1,565,0.008131607435643673,0.01351740758608606
113,0.4551395473563,0.0002211337166,1,564,0.008789650723338127,0.012685590417120052
111,0.4784085703501,0.0035749981763,1,576,0.011253995820879936,0.014141540884516957
288,0.4400176105836,0.0221378422655,1,563,0.008679778221994639,0.020794780212053898
277,0.0788153739624,0.0011246047718,1,788,0.00851589678786695,0.012477041197124427
895,0.7897473442105,0.011623077444,1,411,0.029138878732919694,0.020378114446792918
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
133,0.4624488615977,0.0020023403148,1,593,0.009134369343519211,0.014349657429782291
389,0.4634754762886,0.0019813358919,1,576,0.009122597891837359,0.012893490625020276
124,0.4718453633662,0.0020533256168,1,564,0.0111869178712368,0.013517407586086017
119,0.4654808278789,0.0020752749804,1,565,0.008453181572258472,0.012477473871854716
114,0.3163145818716,0.0020042378611,1,591,0.008428871165961027,0.013309507378185837
496,0.0283631690059,0.0020724755157,1,731,0.011287559755146503,0.013725091456621107
199,0.3144368505757,0.0019885057563,1,572,0.009251744206994771,0.013309291040820681
497,0.4323787825414,0.0004186695981,1,866,0.009235520660877228,0.012061240781324001
37,0.581780375012,0.0020097636103,1,565,0.011579799093306064,0.013725091456621107
242,0.5897873412338,0.0912677296139,2,140,0.0,0.4724645801648924
62,0.4903906962931,0.0020099229552,5,567,0.014014510065317154,0.016220542963519047
119,0.5220640522986,0.0020413081357,5,565,0.009327411092817784,0.014973141716117789
41,0.5030396423709,0.0020374687774,1,568,0.009524116571992636,0.014141108209786668
33,0.7145175246334,0.0004954717626,3,578,0.008672119863331319,0.013932558989791021
50,0.7117310419155,0.000145928819,3,570,0.009210002887994052,0.012269140989224225
567,0.4728260533791,0.0017346393042,1,564,0.010406614094972611,0.014556908625587095
77,0.4892743116241,0.0017549196191,1,565,0.009878895990550519,0.01393299166452131
203,0.836270266563,0.0026409543209,5,612,0.03099508062005043,0.016635478029858854
117,0.4794559752323,0.0008453773953,2,564,0.009391587041318417,0.012685157742389786
113,0.4884628512688,0.0007786654608,4,564,0.011434852611273527,0.014556692288221939
119,0.4781475880481,0.0017615748667,1,861,0.010328557528555393,0.014764808833487297
41,0.4864951299692,0.0005668942296,3,564,0.010988644557073712,0.014349008417686892
116,0.069804910925,0.0017116968007,1,848,0.010636004619300365,0.013932775327156177
58,0.4726021812072,0.001532272969,1,598,0.011127347080036997,0.01351740758608604
35,0.4743095033608,0.0013063473529,2,600,0.012548968382179736,0.01580474254771862
51,0.4699844309495,0.0015984227187,3,588,0.012589134275913239,0.015388725794553037
