batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
591,0.9997697342144,0.0055276967725,4,76,0.4506123429120308,6.232596708066537e-05
594,0.0464967507918,0.0010838202755,2,779,0.013724226107160554,0.17215573102235796
857,0.9955268662001,0.0001467534564,3,100,0.24431043546548228,0.0011832778833129188
615,0.8106858052209,0.0001323482443,5,65,0.09527519194532721,0.007673966740116928
824,0.1753521727203,0.0001841551525,4,113,0.03389703639443491,0.06499120449477977
401,0.9497303941395,0.0478749298294,4,69,0.449571760185704,0.0010455946669434058
876,0.3626957346861,0.0002217555742,5,77,0.040758175929872076,0.022803862203251233
461,0.1735066265393,0.0001879862787,5,73,0.03306457021337354,0.10571023823636952
161,0.4444604892864,0.0075097824484,5,126,0.027656136084856175,0.12875045700958282
195,0.1278065436491,0.0319112816985,3,74,0.021833199564729223,0.15199778815562076
