batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.07812841547257973,0.05324300527214158
979,0.3596079321578,0.0535361448362,4,65,0.09991061225081936,0.15825099893778355
652,0.7642785040662,0.0014379647071,3,136,0.05799712140451778,0.09898472874539473
322,0.412513526121,0.0006441000446,1,166,0.11230210181438563,0.054692249281219074
815,0.8617159873378,0.0002361502231,3,752,0.026382877736380612,0.17903474594421523
925,0.3837167412653,0.0596107666961,2,65,0.12136640459299089,0.14868023390395918
150,0.1709107359706,0.0005901249311,2,70,0.16793052318421275,0.018507228913056162
1024,0.9367846473174,0.0044448572887,4,80,0.009419529248367657,0.4273275196272074
102,0.6765698196157,0.0001975638963,1,697,0.06829704050764893,0.03327052338498748
659,0.4104945693248,0.0117063616816,5,64,0.10091903118473114,0.0894152617357612
659,0.4262363360775,0.0063782393736,4,68,0.10825560401334908,0.09233084040576237
176,0.5650710721095,0.0001467921737,3,463,0.09249955153826513,0.039925277074080424
752,0.2330801595869,0.0255903600372,1,709,0.1503959047658877,0.03348037062917395
277,0.0788153739624,0.0011246047718,1,788,0.17149657622882813,0.015595976990357818
895,0.7897473442105,0.011623077444,1,411,0.03594561752947894,0.25099352934940866
498,0.4997052812651,0.0008260624616,1,201,0.09640181939710271,0.07652263646020149
544,0.3566148090088,0.0077072238861,1,64,0.12400892866380286,0.06924483115950338
184,0.5249395800268,0.0002461496774,1,328,0.10098659150528186,0.04055049205933701
497,0.4323787825414,0.0004186695981,1,866,0.10289259635137786,0.07091171055791241
143,0.4893136075805,0.0143524519362,2,124,0.10429689241178108,0.0528291518926274
111,0.6237206127861,0.0011527170707,5,250,0.09037119733564782,0.07028195248798788
203,0.836270266563,0.0026409543209,5,612,0.022979504682800984,0.25806862653896995
682,0.8411544066865,0.0006865924239,5,174,0.03391573096766617,0.13619389020013367
342,0.3794140715116,0.0094428768473,4,67,0.13435916984171578,0.08547056621978577
539,0.4096195582972,0.0014614146338,2,269,0.11547402143478395,0.058850902451318673
540,0.6011431890687,0.0002228815534,5,87,0.057885551714535924,0.07174028266640128
313,0.4545499988336,0.0003879558517,5,696,0.11851889204798323,0.06071962461140399
582,0.0387496336331,0.0003356147463,1,83,0.14724747059471682,0.0357681382655368
841,0.3293608465041,0.0018412961777,3,115,0.11415045280348171,0.07590672398164593
507,0.5071325061685,0.0001639990325,4,291,0.08900481217738353,0.09211947880001992
526,0.1558490208903,0.0010597119829,3,71,0.14800133898854256,0.03514313961764535
571,0.1632290921883,0.0403526510329,1,155,0.15729682435140463,0.02412161621318747
946,0.240475409915,0.0535361448362,3,68,0.11794668265815937,0.064463775389894
578,0.466940713799,0.0069166965864,5,247,0.09312009953188174,0.11893882195651184
506,0.2774871972287,0.000458934893,1,239,0.11784087273207577,0.05510437196181213
799,0.0490666417774,0.000188798116,1,231,0.13833418735952088,0.03368805449970902
962,0.1658029844256,0.0009078367561,5,387,0.1348979141676065,0.0625920245066967
681,0.9252130831835,0.000225824127,2,160,0.018387179817214157,0.16926581588392203
442,0.5011312487499,0.0005315224917,1,162,0.080054653440461,0.06882751638214697
363,0.5999613374055,0.0005315224917,5,119,0.06949333228848198,0.09939576973916202
917,0.2528729324812,0.0002112474838,2,84,0.05068416212544298,0.04762104616423033
683,0.4302554532778,0.0069425824515,4,336,0.09844826200694748,0.10168159033923863
869,0.3577941791914,0.0001144897283,1,85,0.026886500698147398,0.08109687370873635
219,0.1326945416802,0.0055501982149,1,497,0.17247052959872014,0.01642757782195863
156,0.5126786491203,0.0053294934748,3,134,0.1273545329092127,0.04554399112151453
844,0.2250047838217,0.0777989782816,3,65,0.1430585893627369,0.12104443353142622
193,0.6825317392541,0.0012800826778,5,78,0.07139301552917018,0.06051172440350381
431,0.0822383740424,0.0075073454367,3,156,0.17289432260574716,0.0199627467057228
259,0.6182439422905,0.0005315224917,5,90,0.08238306578361627,0.08150813103986883
441,0.1020683828299,0.0037946946911,5,771,0.1369733368944038,0.02349726657739142
222,0.3163643900406,0.0077402548612,5,64,0.14976259224342575,0.03680417790719561
118,0.0095926156531,0.0001209499004,4,489,0.17264783213535945,0.014556692288221918
725,0.4495361860686,0.0001828620707,3,74,0.03319270012956677,0.04990946281268862
456,0.2025097518032,0.000165906658,5,371,0.14695609961495254,0.04200817322565502
858,0.5295439381285,0.0008570201388,2,874,0.08993309962026999,0.07776938869550729
514,0.9751001598295,0.0023139794505,4,290,0.006007009889140274,0.4202584798838701
852,0.1477343378818,0.0001720754894,1,578,0.12069631278966413,0.05032374886693303
287,0.0042305286159,0.0003825520686,4,280,0.1750304217185035,0.015804093535623176
713,0.4736068584881,0.0484101532431,1,65,0.12089817667097755,0.17509762223601974
876,0.3843229233274,0.0312081445008,2,98,0.11271344795371548,0.11271609398560492
