batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
811,0.7360326119571,0.00010291166,5,85,0.3844308488429196,0.0011237233877182007
339,0.4173554438792,0.0003570077628,3,517,0.011229423612358059,0.05079655945301056
646,0.758261818521,0.0001352437735,5,65,0.16342059661518557,0.001719781756401062
951,0.9735584499863,0.0001102087291,2,205,0.033896171044974374,0.022048723697662354
446,0.134623905588,0.0002102153549,4,72,0.033480586966539085,0.03868370056152344
537,0.705765811895,0.0001409840823,4,71,0.037432854290294436,0.008933502435684203
247,0.3259838235405,0.0353340924698,5,71,0.021209715278393725,0.047638320922851564
857,0.1951306335049,0.000137391533,5,101,0.13868220257398198,0.0029206931591033935
730,0.9770952291832,0.0001315068271,5,80,0.08150834737723396,0.003254041075706482
876,0.3626957346861,0.0002217555742,5,77,0.060314208389130305,0.00486295223236084
