batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,demographic_parity,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.05080728828907013,0.014763294471931277
979,0.3596079321578,0.0535361448362,4,65,0.05321364998817444,0.016219677614058424
652,0.7642785040662,0.0014379647071,3,136,0.05158887803554535,0.015387860445092504
94,0.005704017356,0.0050831004951,3,339,0.05037417709827423,0.01788287927726011
322,0.412513526121,0.0006441000446,1,166,0.05177680253982544,0.016013724442444532
815,0.8617159873378,0.0002361502231,3,752,0.05238073170185089,0.015804526210353463
925,0.3837167412653,0.0596107666961,2,65,0.051455363631248474,0.020587961690979383
150,0.1709107359706,0.0005901249311,2,70,0.05135805308818817,0.014140459197691246
1024,0.9367846473174,0.0044448572887,4,80,0.05108929872512817,0.01663526169249374
102,0.6765698196157,0.0001975638963,1,697,0.05170260965824127,0.013308858366090415
659,0.4104945693248,0.0117063616816,5,64,0.05106295943260193,0.01788439363881613
59,0.0030815114132,0.0057836649805,4,153,0.05161052644252777,0.016011777406158223
659,0.4262363360775,0.0063782393736,4,68,0.050756484270095825,0.01559662600245324
176,0.5650710721095,0.0001467921737,3,463,0.05205399394035339,0.0128926252755597
752,0.2330801595869,0.0255903600372,1,709,0.05613241493701935,0.03285645366810817
85,0.6624668076433,0.0001461455212,3,455,0.05113564133644104,0.013932775327156154
277,0.0788153739624,0.0011246047718,1,788,0.05202750861644745,0.013100958158190212
895,0.7897473442105,0.011623077444,1,411,0.05106335580348968,0.014140026522960958
498,0.4997052812651,0.0008260624616,1,201,0.05185046195983887,0.015805175222448908
81,0.801774956151,0.0054916470096,2,72,0.05250561237335205,0.014141108209786668
69,0.005704017356,0.0027189688569,1,229,0.051059722900390625,0.016012210080888555
544,0.3566148090088,0.0077072238861,1,64,0.05024302005767822,0.015596193327722996
635,0.4104945693248,0.0144818936694,1,74,0.05134611427783966,0.01538894213191817
184,0.5249395800268,0.0002461496774,1,328,0.051593878865242006,0.015389158469283326
497,0.4323787825414,0.0004186695981,1,866,0.051478242874145506,0.01289284161292481
53,0.7431359447524,0.0001324462442,2,383,0.05180785953998566,0.014557773975047627
143,0.4893136075805,0.0143524519362,2,124,0.05108969509601593,0.01393299166452131
111,0.6237206127861,0.0011527170707,5,250,0.05167343318462372,0.01684510893668021
203,0.836270266563,0.0026409543209,5,612,0.05280329883098602,0.013724658781890841
68,0.1473946081284,0.0008993767961,4,788,0.051276680827140805,0.015597058677183528
682,0.8411544066865,0.0006865924239,5,174,0.05150560140609741,0.018716210807782074
766,0.8645144427745,0.0002361502231,1,276,0.050386551022529605,0.0334808033039042
342,0.3794140715116,0.0094428768473,4,67,0.05066838264465332,0.016844892599315077
539,0.4096195582972,0.0014614146338,2,269,0.05020163953304291,0.016219893951423602
540,0.6011431890687,0.0002228815534,5,87,0.042677363753318785,0.0347288535634009
65,0.2425091147505,0.0001738203182,2,75,0.05173655152320862,0.017260909352480612
313,0.4545499988336,0.0003879558517,5,696,0.050742775201797485,0.015596626002453262
582,0.0387496336331,0.0003356147463,1,83,0.0394586980342865,0.038887290396135345
