batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
591,0.9997697342144,0.0055276967725,4,76,0.4506123429120308,8.092019594076908e-05
284,0.0871533894946,0.0005149100678,2,615,0.01268429239292923,0.042041418001507264
914,0.0544965293509,0.0001220228103,5,76,0.12703914191947488,0.004035850492390719
730,0.9770952291832,0.0001315068271,5,80,0.30776045396232704,0.002062554323312008
811,0.7360326119571,0.00010291166,5,85,0.24325362743676998,0.002776986983689395
918,0.7014483960015,0.0002627246232,4,64,0.05905772097239317,0.012548561511617717
725,0.6806778576871,0.0001213389638,3,91,0.03867787582667914,0.01439256062110265
722,0.0154699585721,0.004228519805,4,155,0.012892192600829433,0.027498922077092258
851,0.9915991009644,0.0001358140485,4,187,0.4504042263667654,0.0019077073444019664
130,0.0920249321006,0.0008042510053,4,94,0.014557124962952205,0.024870008501139552
