batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.08001169862169208,0.08213442771195112
979,0.3596079321578,0.0535361448362,4,65,0.11815426091353101,0.09253852427629743
652,0.7642785040662,0.0014379647071,3,136,0.03028523154330976,0.12309596076505544
94,0.005704017356,0.0050831004951,3,339,0.029005376290191304,0.016011344731427957
322,0.412513526121,0.0006441000446,1,166,0.08407510468454073,0.06196616050934467
815,0.8617159873378,0.0002361502231,3,752,0.023391699122660085,0.1636663558619854
925,0.3837167412653,0.0596107666961,2,65,0.12724723519700948,0.1249787448538749
150,0.1709107359706,0.0005901249311,2,70,0.04241735774459261,0.018715561795686654
1024,0.9367846473174,0.0044448572887,4,80,0.014761626305002154,0.34976862718798196
102,0.6765698196157,0.0001975638963,1,697,0.05934516104784878,0.051358923159131264
659,0.4104945693248,0.0117063616816,5,64,0.11478293921008254,0.10459478929822322
659,0.4262363360775,0.0063782393736,4,68,0.09794987057194564,0.08587771314098058
176,0.5650710721095,0.0001467921737,3,463,0.08005494724620472,0.06654472450518237
752,0.2330801595869,0.0255903600372,1,709,0.0570931698697986,0.037430907254008196
277,0.0788153739624,0.0011246047718,1,788,0.028734151991930874,0.01642801049668894
895,0.7897473442105,0.011623077444,1,411,0.03497439745700721,0.2470678715215656
498,0.4997052812651,0.0008260624616,1,201,0.07922899360006506,0.07257296518482781
184,0.5249395800268,0.0002461496774,1,328,0.07476214679804716,0.045958277175758976
497,0.4323787825414,0.0004186695981,1,866,0.09309849780617338,0.06321464344357161
143,0.4893136075805,0.0143524519362,2,124,0.08236130414587078,0.05094831484009423
111,0.6237206127861,0.0011527170707,5,250,0.05186431342905218,0.056355883619151045
203,0.836270266563,0.0026409543209,5,612,0.06001773030468912,0.17715174551803065
682,0.8411544066865,0.0006865924239,5,174,0.033115198241941854,0.10979424153201467
342,0.3794140715116,0.0094428768473,4,67,0.09870372887813686,0.0603012281472219
539,0.4096195582972,0.0014614146338,2,269,0.08505050175117725,0.05718229235398853
540,0.6011431890687,0.0002228815534,5,87,0.04088318125768141,0.04616358133527747
313,0.4545499988336,0.0003879558517,5,696,0.08124644763541944,0.06487806144413846
582,0.0387496336331,0.0003356147463,1,83,0.09037843478448462,0.03597582213607189
841,0.3293608465041,0.0018412961777,3,115,0.08233172871849755,0.06550306009202991
507,0.5071325061685,0.0001639990325,4,291,0.07596291509541599,0.06987156050631597
526,0.1558490208903,0.0010597119829,3,71,0.06313535195408446,0.03514378862974075
571,0.1632290921883,0.0403526510329,1,155,0.05055922757495533,0.03223296938177269
578,0.466940713799,0.0069166965864,5,247,0.10051264130707942,0.10584868066657868
506,0.2774871972287,0.000458934893,1,239,0.09045326850631019,0.0553144355433637
799,0.0490666417774,0.000188798116,1,231,0.08664071415409896,0.03264920247230341
962,0.1658029844256,0.0009078367561,5,387,0.09581419836391102,0.06196659318407496
633,0.4527774250837,0.0005033519202,3,444,0.10118269988984774,0.09898883915533237
632,0.2859097380484,0.0213235547463,3,145,0.0968059358813546,0.06986982980739483
681,0.9252130831835,0.000225824127,2,160,0.015936770023721635,0.20441003718839307
442,0.5011312487499,0.0005315224917,1,162,0.07596177621321246,0.06675046133943116
363,0.5999613374055,0.0005315224917,5,119,0.05706492035677939,0.06072157164769028
917,0.2528729324812,0.0002112474838,2,84,0.03678189870986072,0.04096694148723283
683,0.4302554532778,0.0069425824515,4,336,0.09989053877917202,0.09752596589225102
869,0.3577941791914,0.0001144897283,1,85,0.023781588583281547,0.1027230384150259
219,0.1326945416802,0.0055501982149,1,497,0.03300330572959149,0.0205853656425977
156,0.5126786491203,0.0053294934748,3,134,0.08219066173741311,0.03972538134869037
844,0.2250047838217,0.0777989782816,3,65,0.11946219075809825,0.08233973187146963
193,0.6825317392541,0.0012800826778,5,78,0.057583230318445144,0.08130672095292282
355,0.9137569290511,0.034912055568,1,196,0.12326997776826223,0.29755192637606787
431,0.0822383740424,0.0075073454367,3,156,0.028694510098659632,0.018091428497255736
259,0.6182439422905,0.0005315224917,5,90,0.05657489050518383,0.06633206487524904
441,0.1020683828299,0.0037946946911,5,771,0.04224331464731332,0.01809164483462091
222,0.3163643900406,0.0077402548612,5,64,0.08980094985528425,0.03472604117765408
118,0.0095926156531,0.0001209499004,4,489,0.02831719034548962,0.016635478029858854
725,0.4495361860686,0.0001828620707,3,74,0.031183929371111318,0.045541178735767684
456,0.2025097518032,0.000165906658,5,371,0.0632851901921359,0.037638807461908376
858,0.5295439381285,0.0008570201388,2,874,0.09824876514348117,0.09461146890907554
514,0.9751001598295,0.0023139794505,4,290,0.0022231148499431033,0.4506123429120308
181,0.1042301237216,0.0056294156898,4,184,0.029907681183381513,0.018714047434130677
852,0.1477343378818,0.0001720754894,1,578,0.07595654173330826,0.046581328787364165
287,0.0042305286159,0.0003825520686,4,280,0.028288526814995385,0.0180927265214466
713,0.4736068584881,0.0484101532431,1,65,0.12180728142911738,0.14848920801053994
876,0.3843229233274,0.0312081445008,2,98,0.10868259137327022,0.11749195765845089
102,0.0243599966944,0.0034664159679,2,142,0.02916526035829024,0.016636127041954274
145,0.5126786491203,0.0036689786017,4,86,0.07575496556180897,0.07921668566829856
884,0.0240476070589,0.0001244318996,5,523,0.04409869320464856,0.025162198939514234
267,0.2227488758416,0.0133378701537,2,69,0.05656009070801012,0.028904619019083123
276,0.1850431063149,0.0050170483991,3,101,0.04769738332791762,0.026408085825359473
852,0.2554158173882,0.0001859212949,3,65,0.01647339819055615,0.06093834168756125
313,0.4943773457039,0.0025848473367,3,885,0.08836279067126188,0.06905661765183095
460,0.2886737918534,0.011874222675,2,145,0.09825578100753553,0.0679963482252764
776,0.1506642600813,0.00253628593,2,529,0.08117808276956733,0.05073911660800316
330,0.9821690174032,0.0229054208914,4,64,0.0029472526275750362,0.4506123429120308
542,0.3884680740375,0.0047964066063,4,599,0.11495043649817957,0.09336493301113487
671,0.477805553039,0.0001000439302,1,742,0.0672351838422544,0.07694038391228816
307,0.3966296496465,0.0065078037431,2,550,0.0981305219187881,0.12412788999677656
793,0.2500518198771,0.0072989042556,4,564,0.10370013598239783,0.07734796350821324
776,0.3086653060848,0.0004287369379,1,84,0.059264268044269444,0.04741487665525126
915,0.2951589262888,0.0066119680367,4,325,0.1207849432482864,0.09295648806574923
831,0.9121447002385,0.0258958220048,2,86,0.022575488063422116,0.3325206980774098
976,0.3603359633198,0.0163222644592,1,278,0.10482407988923967,0.08088745913928015
454,0.1246000775699,0.0038598459083,4,160,0.05114184319972992,0.02828005304592194
