batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.0501964862147967,0.04761823377848353
979,0.3596079321578,0.0535361448362,4,65,0.08345454335212708,0.1434669360787987
652,0.7642785040662,0.0014379647071,3,136,0.036516881982485455,0.08982565371743312
322,0.412513526121,0.0006441000446,1,166,0.05809860825538636,0.04990405437856012
815,0.8617159873378,0.0002361502231,3,752,0.027976806958516436,0.1823453566429633
925,0.3837167412653,0.0596107666961,2,65,0.08912054697672525,0.09045130137742
150,0.1709107359706,0.0005901249311,2,70,0.02370524158080419,0.016636343379319452
1024,0.9367846473174,0.0044448572887,4,80,0.014488240083058676,0.3370319811526888
102,0.6765698196157,0.0001975638963,1,697,0.04245634575684866,0.03576770559080651
659,0.4104945693248,0.0117063616816,5,64,0.07852167536815007,0.08982543738006796
659,0.4262363360775,0.0063782393736,4,68,0.07850062946478525,0.06571074396256497
176,0.5650710721095,0.0001467921737,3,463,0.049320811033248896,0.051986517855404424
277,0.0788153739624,0.0011246047718,1,788,0.024550238003333412,0.013932558989791044
895,0.7897473442105,0.011623077444,1,411,0.06002603471279144,0.1703018555255808
498,0.4997052812651,0.0008260624616,1,201,0.07679157257080078,0.05967882554771211
184,0.5249395800268,0.0002461496774,1,328,0.04445019563039144,0.04054876136041585
497,0.4323787825414,0.0004186695981,1,866,0.0586603065331777,0.05219009131600181
143,0.4893136075805,0.0143524519362,2,124,0.038106215496857956,0.021419562522580194
111,0.6237206127861,0.0011527170707,5,250,0.04401673277219137,0.035561968756557705
203,0.836270266563,0.0026409543209,5,612,0.009552497665087385,0.3204668127665006
682,0.8411544066865,0.0006865924239,5,174,0.027608899772167204,0.21208785027723637
342,0.3794140715116,0.0094428768473,4,67,0.0574491744240125,0.041381660216207525
539,0.4096195582972,0.0014614146338,2,269,0.05687969724337261,0.05157028476487373
313,0.4545499988336,0.0003879558517,5,696,0.059334763884544374,0.04345893159628848
582,0.0387496336331,0.0003356147463,1,83,0.06367304722468058,0.03535255418710152
841,0.3293608465041,0.0018412961777,3,115,0.06340373357137044,0.058224822116601516
507,0.5071325061685,0.0001639990325,4,291,0.05636873046557108,0.06217384437987976
526,0.1558490208903,0.0010597119829,3,71,0.02997560054063797,0.028280269383287072
571,0.1632290921883,0.0403526510329,1,155,0.03486001888910929,0.02370733015894304
578,0.466940713799,0.0069166965864,5,247,0.07857200801372528,0.07547664529974622
506,0.2774871972287,0.000458934893,1,239,0.054220663507779446,0.04179594627045198
799,0.0490666417774,0.000188798116,1,231,0.06492822468280793,0.0338968200570698
962,0.1658029844256,0.0009078367561,5,387,0.04472094923257828,0.03659887374767708
681,0.9252130831835,0.000225824127,2,160,0.011486330628395082,0.16614060630709954
442,0.5011312487499,0.0005315224917,1,162,0.05630451142787933,0.05364798881968498
363,0.5999613374055,0.0005315224917,5,119,0.054313148558139804,0.05822179339348956
917,0.2528729324812,0.0002112474838,2,84,0.02677371899286906,0.05739257227290524
683,0.4302554532778,0.0069425824515,4,336,0.07948646942774454,0.11603189678111632
869,0.3577941791914,0.0001144897283,1,85,0.016351006428400677,0.10188927420977367
219,0.1326945416802,0.0055501982149,1,497,0.02324807792901993,0.016844243587219653
156,0.5126786491203,0.0053294934748,3,134,0.05937857429186503,0.0380509301425014
193,0.6825317392541,0.0012800826778,5,78,0.0376038466890653,0.045128190705714125
